"Index" "CSC.Open" "CSC.High" "CSC.Low" "CSC.Close" "CSC.Volume" "CSC.Adjusted"
2014-01-16 56.040001 56.439999 55.950001 56.099998 432400 54.710273
2014-01-17 55.970001 56.110001 55.389999 55.450001 669700 54.076377
2014-01-21 55.84 55.939999 55.16 55.549999 658100 54.173899
2014-01-22 55.5 57.419998 55.349998 57.110001 1798500 55.695255
2014-01-23 56.77 56.990002 55.360001 55.889999 1492200 54.505476
2014-01-24 55.310001 55.560001 54.27 54.27 1274500 52.925608
2014-01-27 54.259998 54.650002 53.299999 53.400002 1324600 52.077161
2014-01-28 53.419998 53.860001 53.240002 53.68 1030900 52.350224
2014-01-29 53.009998 54.16 52.919998 54.040001 1374300 52.701307
2014-01-30 54.43 55.25 54.049999 55.16 1233700 53.793561
2014-01-31 57.119999 61.790001 55.650002 60.41 6005500 58.913506
2014-02-03 60.150002 60.799999 58.490002 58.59 3271500 57.138592
2014-02-04 58.810001 58.919998 57.950001 58.5 1717200 57.050821
2014-02-05 58.27 58.400002 57.18 57.91 1722200 56.475437
2014-02-06 58.189999 58.610001 57.959999 58.380001 1237500 56.933795
2014-02-07 58.610001 60.189999 58.610001 60.060001 1802900 58.572178
2014-02-10 59.900002 60.330002 59.560001 60.259998 889300 58.76722
2014-02-11 60.220001 61.650002 60.049999 61.32 1647700 59.800963
2014-02-12 61.290001 61.669998 61.169998 61.450001 1245100 59.927744
2014-02-13 61.16 62.389999 60.919998 62.310001 1142200 60.76644
2014-02-14 62.040001 62.200001 61.580002 61.720001 1068300 60.191056
2014-02-18 62.23 63.130001 62.200001 62.880001 1136500 61.32232
2014-02-19 62.919998 63.66 62.43 62.540001 1570300 60.990742
2014-02-20 62.380001 62.75 62 62.349998 871800 60.805446
2014-02-21 62.529999 62.82 62.200001 62.200001 984700 60.659165
2014-02-24 62.189999 63.73 62.130001 63.400002 1187600 61.829439
2014-02-25 63.16 63.490002 62.84 63.299999 1105100 61.731914
2014-02-26 63.470001 64.099998 63.32 63.610001 1107200 62.034235
2014-02-27 63.459999 63.599998 62.759998 63.27 831300 61.702658
2014-02-28 63.310001 63.900002 62.700001 63.200001 1162500 61.634392
2014-03-03 62.709999 62.790001 61.880001 62.200001 1127600 60.659165
2014-03-04 63.009998 63.41 62.830002 63 1151100 61.439346
2014-03-05 63.189999 63.220001 62.389999 62.549999 961700 61.000493
2014-03-06 62.720001 63.009998 62.529999 62.580002 841800 61.029752
2014-03-07 63.52 64.089996 62.5 62.959999 2720700 61.400336
2014-03-10 62.639999 62.82 61.720001 62.029999 892300 60.493374
2014-03-11 62.220001 62.59 61.959999 62.18 933500 60.63966
2014-03-12 61.93 62.02 61.330002 61.889999 1075000 60.356843
2014-03-13 62.240002 62.700001 61.110001 61.34 1050500 59.820468
2014-03-14 61.18 61.939999 61.18 61.73 1384300 60.200806
2014-03-17 62 62.59 61.900002 62.360001 845400 60.815201
