"Index" "USD.PHP"
2015-08-16 46.185
2015-08-17 46.2995
2015-08-18 46.3173
2015-08-19 46.3088
2015-08-20 46.4765
2015-08-21 46.677
2015-08-22 46.656
2015-08-23 46.656
2015-08-24 46.7764
2015-08-25 46.6655
2015-08-26 46.6648
2015-08-27 46.6671
2015-08-28 46.727
2015-08-29 46.78
2015-08-30 46.78
2015-08-31 46.776
2015-09-01 46.7201
2015-09-02 46.7447
2015-09-03 46.7738
2015-09-04 46.8127
2015-09-05 46.9393
2015-09-06 46.9395
2015-09-07 46.9643
2015-09-08 46.9249
2015-09-09 46.8696
2015-09-10 46.8603
2015-09-11 46.7934
2015-09-12 46.7319
2015-09-13 46.7315
2015-09-14 46.7779
2015-09-15 46.7276
2015-09-16 46.647
2015-09-17 46.4992
2015-09-18 46.4093
2015-09-19 46.4786
2015-09-20 46.512
2015-09-21 46.5077
2015-09-22 46.5807
2015-09-23 46.7756
2015-09-24 46.8889
2015-09-25 46.8011
2015-09-26 46.7681
2015-09-27 46.766
2015-09-28 46.7998
2015-09-29 46.8693
2015-09-30 46.7684
2015-10-01 46.7314
2015-10-02 46.7241
2015-10-03 46.5935
2015-10-04 46.5935
2015-10-05 46.4921
2015-10-06 46.4136
2015-10-07 46.2362
2015-10-08 46.0908
2015-10-09 45.835
2015-10-10 45.6888
2015-10-11 45.689
2015-10-12 45.7698
2015-10-13 45.9734
2015-10-14 46.0047
2015-10-15 45.8397
2015-10-16 45.9779
2015-10-17 46.0108
2015-10-18 46.005
2015-10-19 46.1019
2015-10-20 46.2721
2015-10-21 46.423
2015-10-22 46.5012
2015-10-23 46.493
2015-10-24 46.5978
2015-10-25 46.625
2015-10-26 46.5798
2015-10-27 46.6941
2015-10-28 46.7839
2015-10-29 46.9487
2015-10-30 46.9487
2015-10-31 46.7255
2015-11-01 46.7355
