"Index" "NP.Open" "NP.High" "NP.Low" "NP.Close" "NP.Volume" "NP.Adjusted"
2014-05-15 49.669998 49.82 48.93 49.259998 1e+05 47.85215
2014-05-16 49.150002 49.34 48.73 48.860001 56200 47.463584
2014-05-19 48.830002 49.470001 47.549999 49.040001 88900 47.63844
2014-05-20 49.040001 49.040001 47.610001 47.970001 75200 46.599021
2014-05-21 48.110001 48.73 47.59 47.82 47200 46.453306
2014-05-22 47.970001 48.59 47.759998 48.189999 72100 46.812731
2014-05-23 48.189999 48.990002 48.189999 48.700001 45000 47.308157
2014-05-27 48.740002 49.220001 48.650002 48.720001 64500 47.327586
2014-05-28 48.720001 48.939999 48.349998 48.610001 46300 47.220729
2014-05-29 48.830002 49.060001 48.41 48.830002 59500 47.434443
2014-05-30 48.959999 49.400002 48.720001 48.779999 47000 47.385869
2014-06-02 48.790001 48.889999 48.220001 48.59 56900 47.2013
2014-06-03 48.400002 49.040001 48.290001 48.810001 92400 47.415014
2014-06-04 48.560001 49.220001 48.52 48.650002 37300 47.259587
2014-06-05 48.599998 51.77 48.599998 51.52 76000 50.047561
2014-06-06 51.700001 52.25 51.380001 51.970001 73700 50.484701
2014-06-09 52.060001 52.75 51.450001 52.040001 84000 50.5527
2014-06-10 52.099998 52.25 51.240002 52.029999 49400 50.542984
2014-06-11 51.900002 52.310001 51.380001 51.77 51200 50.290416
2014-06-12 51.59 51.689999 50.93 51.259998 55500 49.79499
2014-06-13 51.330002 51.720001 50.93 51.169998 55300 49.707562
2014-06-16 51.130001 51.619999 51 51.529999 33100 50.057274
2014-06-17 51.630001 52.27 51.16 52.060001 75100 50.572129
2014-06-18 52.060001 52.240002 51.310001 51.970001 82400 50.484701
2014-06-19 52.189999 52.459999 51.860001 52.209999 42400 50.71784
2014-06-20 52.41 53.400002 52.290001 53.009998 97200 51.494975
2014-06-23 53.07 53.099998 52.52 52.700001 48300 51.193837
2014-06-24 52.700001 53.68 52.34 52.66 70600 51.15498
2014-06-25 52.700001 53.98 52.599998 53.869999 51700 52.330397
2014-06-26 53.75 53.75 53.23 53.549999 40800 52.019543
2014-06-27 53.169998 53.849998 52.959999 52.990002 185500 51.47555
2014-06-30 53 53.540001 52.689999 53.150002 107100 51.630977
2014-07-01 53.560001 54.740002 53 54.34 59600 52.786966
2014-07-02 54.169998 54.169998 53.310001 53.439999 82200 51.912686
2014-07-03 53.759998 54.299999 53.529999 54.119999 29600 52.573252
2014-07-07 54.080002 54.080002 53.200001 53.310001 81200 51.786404
2014-07-08 53.360001 53.360001 52.77 52.98 98100 51.465834
2014-07-09 53.290001 53.490002 52.77 53.16 56100 51.64069
2014-07-10 52.57 52.990002 52.330002 52.689999 58200 51.184121
2014-07-11 52.41 52.849998 52.119999 52.689999 67300 51.184121
2014-07-14 53.279999 53.799999 53.119999 53.450001 50000 51.922402
2014-07-15 53.650002 53.650002 52.330002 52.330002 55300 50.834413
2014-07-16 52.860001 52.860001 52.200001 52.369999 74100 50.873267
2014-07-17 52.34 52.360001 51.759998 51.860001 67500 50.377844
2014-07-18 51.849998 52.18 51.799999 52.139999 75300 50.649841
2014-07-21 51.919998 51.919998 50.720001 51.68 51500 50.202988
2014-07-22 52.169998 52.369999 51.599998 51.740002 51100 50.261275
2014-07-23 51.970001 52.209999 51.529999 51.66 78900 50.18356
2014-07-24 51.93 52.099998 51.32 51.66 93800 50.18356
2014-07-25 51.41 51.66 51.169998 51.27 74500 49.804706
2014-07-28 51.400002 51.400002 50.779999 51.110001 39800 49.649279
2014-07-29 51.209999 51.209999 50.75 50.799999 43900 49.348138
2014-07-30 51.16 51.290001 50.549999 50.759998 34400 49.30928
2014-07-31 50.279999 50.41 49.490002 49.619999 95200 48.201862
2014-08-01 49.700001 49.98 48.889999 49.860001 62700 48.435004
2014-08-04 50.080002 50.599998 49.540001 50.52 43200 49.076141
2014-08-05 50.130001 50.5 49.599998 50.110001 51500 48.677859
2014-08-06 49.830002 50.959999 49.830002 50.619999 39900 49.173282
2014-08-07 51.099998 52.240002 50.849998 51.720001 97300 50.241846
2014-08-08 51.689999 53.799999 51.689999 53.57 78300 52.038972
2014-08-11 54.060001 54.939999 53.639999 54.400002 46300 52.845252
2014-08-12 54.380001 54.68 53.549999 54.25 41800 52.699538
2014-08-13 54.169998 54.389999 53.610001 54.209999 33000 52.924082
