"Index" "NOB.Open" "NOB.High" "NOB.Low" "NOB.Close" "NOB.Volume" "NOB.Adjusted"
2014-07-03 0.02 0.02 0.02 0.02 9000 0.02
2014-07-04 0.025 0.025 0.025 0.025 40000 0.025
2014-07-07 0.025 0.025 0.025 0.025 3000 0.025
2014-07-08 0.025 0.025 0.025 0.025 0 0.025
2014-07-09 0.025 0.025 0.025 0.025 0 0.025
2014-07-10 0.025 0.025 0.025 0.025 10000 0.025
2014-07-11 0.025 0.025 0.025 0.025 17000 0.025
2014-07-14 0.02 0.02 0.02 0.02 50000 0.02
2014-07-15 0.02 0.02 0.02 0.02 43500 0.02
2014-07-16 0.02 0.02 0.02 0.02 0 0.02
2014-07-17 0.02 0.02 0.02 0.02 0 0.02
2014-07-18 0.02 0.02 0.02 0.02 0 0.02
2014-07-21 0.02 0.02 0.02 0.02 6500 0.02
2014-07-22 0.02 0.02 0.02 0.02 238900 0.02
2014-07-23 0.02 0.02 0.02 0.02 19000 0.02
2014-07-24 0.02 0.02 0.02 0.02 0 0.02
2014-07-25 0.02 0.02 0.02 0.02 0 0.02
2014-07-28 0.02 0.02 0.02 0.02 0 0.02
2014-07-29 0.02 0.02 0.02 0.02 0 0.02
2014-07-30 0.02 0.02 0.02 0.02 30000 0.02
2014-07-31 0.02 0.02 0.02 0.02 0 0.02
2014-08-01 0.02 0.02 0.02 0.02 0 0.02
2014-08-04 0.02 0.02 0.02 0.02 0 0.02
2014-08-05 0.02 0.02 0.02 0.02 0 0.02
2014-08-06 0.015 0.015 0.015 0.015 289000 0.015
2014-08-07 0.02 0.02 0.02 0.02 19500 0.02
2014-08-08 0.015 0.015 0.015 0.015 248000 0.015
2014-08-11 0.02 0.02 0.02 0.02 20000 0.02
2014-08-12 0.02 0.02 0.02 0.02 0 0.02
2014-08-13 0.02 0.02 0.02 0.02 0 0.02
2014-08-14 0.02 0.02 0.02 0.02 0 0.02
2014-08-15 0.02 0.02 0.02 0.02 0 0.02
2014-08-18 0.015 0.015 0.015 0.015 160800 0.015
2014-08-19 0.015 0.015 0.015 0.015 49000 0.015
2014-08-20 0.015 0.015 0.015 0.015 0 0.015
2014-08-21 0.015 0.015 0.015 0.015 0 0.015
2014-08-22 0.015 0.015 0.015 0.015 0 0.015
2014-08-25 0.015 0.015 0.015 0.015 0 0.015
2014-08-26 0.015 0.015 0.015 0.015 0 0.015
2014-08-27 0.015 0.015 0.015 0.015 60000 0.015
2014-08-28 0.015 0.015 0.015 0.015 0 0.015
2014-08-29 0.015 0.015 0.015 0.015 0 0.015
2014-09-01 0.015 0.015 0.015 0.015 0 0.015
2014-09-02 0.015 0.015 0.015 0.015 0 0.015
2014-09-03 0.015 0.015 0.015 0.015 0 0.015
2014-09-04 0.01 0.01 0.01 0.01 10000 0.01
2014-09-05 0.01 0.01 0.01 0.01 0 0.01
2014-09-08 0.01 0.01 0.01 0.01 0 0.01
2014-09-09 0.01 0.01 0.01 0.01 0 0.01
2014-09-10 0.015 0.015 0.015 0.015 132600 0.015
2014-09-11 0.015 0.015 0.015 0.015 75000 0.015
2014-09-12 0.015 0.015 0.015 0.015 40000 0.015
2014-09-15 0.015 0.015 0.015 0.015 17600 0.015
2014-09-16 0.015 0.02 0.015 0.02 55000 0.02
2014-09-17 0.015 0.015 0.015 0.015 81000 0.015
2014-09-18 0.015 0.015 0.015 0.015 98500 0.015
2014-09-19 0.015 0.015 0.015 0.015 0 0.015
2014-09-22 0.015 0.015 0.015 0.015 17000 0.015
2014-09-23 0.015 0.015 0.015 0.015 0 0.015
