"Index" "CIN.Open" "CIN.High" "CIN.Low" "CIN.Close" "CIN.Volume" "CIN.Adjusted"
2015-02-25 5.938 5.938 5.938 5.938 0 5.63769
2015-02-26 5.871 5.871 5.871 5.871 0 5.57407
2015-02-27 5.745 5.745 5.745 5.745 0 5.45445
2015-03-02 5.843 5.843 5.843 5.843 0 5.54749
2015-03-03 5.862 5.862 5.862 5.862 0 5.56553
2015-03-04 5.871 5.871 5.871 5.871 0 5.57407
2015-03-05 5.979 5.979 5.979 5.979 0 5.67661
2015-03-06 6.04 6.04 6.04 6.04 0 5.73453
2015-03-09 5.7 5.7 5.7 5.7 0 5.41172
2015-03-10 6.203 6.203 6.203 6.203 100 5.88928
2015-03-11 6.146 6.146 6.146 6.146 0 5.83517
2015-03-12 6.374 6.374 6.374 6.374 0 6.05163
2015-03-13 6.312 6.312 6.312 6.312 0 5.99277
2015-03-16 6.432 6.432 6.432 6.432 0 6.1067
2015-03-17 6.436 6.436 6.436 6.436 0 6.1105
2015-03-18 6.512 6.512 6.512 6.512 0 6.18266
2015-03-19 6.387 6.387 6.387 6.387 0 6.06398
2015-03-20 6.412 6.412 6.412 6.412 0 6.08771
2015-03-23 6.307 6.307 6.279 6.279 2400 5.96144
2015-03-24 6.269 6.269 6.269 6.269 0 5.95195
2015-03-25 6.257 6.257 6.257 6.257 0 5.94055
2015-03-26 6.132 6.132 6.132 6.132 0 5.82187
2015-03-27 6.229 6.229 6.229 6.229 0 6.06964
2015-03-30 6.047 6.047 6.047 6.047 0 6.047
2015-03-31 6.177 6.177 6.177 6.177 0 6.177
2015-04-01 6.246 6.246 6.246 6.246 0 6.246
2015-04-02 6.15 6.15 6.15 6.15 0 6.15
2015-04-03 6.15 6.15 6.15 6.15 0 6.15
2015-04-06 6.15 6.15 6.15 6.15 0 6.15
2015-04-07 5.958 5.958 5.958 5.958 0 5.958
2015-04-08 5.931 5.931 5.931 5.931 0 5.931
2015-04-09 6.061 6.061 6.061 6.061 0 6.061
2015-04-10 6.18 6.18 6.18 6.18 0 6.18
2015-04-13 6.173 6.173 6.173 6.173 0 6.173
2015-04-14 6.18 6.18 6.18 6.18 0 6.18
2015-04-15 6.136 6.136 6.136 6.136 0 6.136
2015-04-16 6.133 6.133 6.133 6.133 0 6.133
2015-04-17 5.58 5.58 5.58 5.58 100 5.58
2015-04-20 5.835 5.835 5.835 5.835 0 5.835
2015-04-21 5.879 5.879 5.879 5.879 0 5.879
2015-04-22 5.818 5.818 5.818 5.818 0 5.818
2015-04-23 5.989 5.989 5.989 5.989 0 5.989
2015-04-24 5.995 5.995 5.995 5.995 0 5.995
2015-04-27 6 6.157 6 6.129 3500 6.129
2015-04-28 6.088 6.088 6.088 6.088 0 6.088
2015-04-29 5.973 5.973 5.973 5.973 0 5.973
2015-04-30 5.828 5.828 5.828 5.828 0 5.828
2015-05-01 5.828 5.828 5.828 5.828 0 5.828
2015-05-04 5.882 5.882 5.882 5.882 0 5.882
2015-05-05 6.045 6.045 6.045 6.045 0 6.045
2015-05-06 5.968 5.968 5.968 5.968 0 5.968
2015-05-07 5.908 5.908 5.908 5.908 0 5.908
2015-05-08 5.944 5.944 5.944 5.944 0 5.944
2015-05-11 6.07 6.07 6.07 6.07 0 6.07
2015-05-12 5.951 5.951 5.951 5.951 0 5.951
2015-05-13 6.049 6.049 6.049 6.049 0 6.049
2015-05-14 5.916 5.916 5.916 5.916 0 5.916
2015-05-15 5.964 5.964 5.964 5.964 0 5.964
2015-05-18 6.001 6.001 6.001 6.001 0 6.001
2015-05-19 6.111 6.111 6.111 6.111 0 6.111
2015-05-20 6.101 6.101 6.101 6.101 0 6.101
2015-05-21 6.105 6.105 6.105 6.105 0 6.105
2015-05-22 6.179 6.179 6.179 6.179 0 6.179
2015-05-25 6.179 6.179 6.179 6.179 0 6.179
2015-05-26 6.181 6.181 6.181 6.181 0 6.181
2015-05-27 6.181 6.181 6.181 6.181 0 6.181
2015-05-28 6.056 6.056 6.056 6.056 0 6.056
2015-05-29 6.016 6.016 6.016 6.016 0 6.016
