"Index" "BH.Open" "BH.High" "BH.Low" "BH.Close" "BH.Volume" "BH.Adjusted"
2014-08-08 427.000008 432.87 426.000016 432.319996 6400 401.411324
2014-08-11 433.98999 433.98999 428.010024 430.010007 12700 399.266488
2014-08-12 428.74001 433.000023 428.100015 430.490003 11000 399.712166
2014-08-13 430.499995 439.999997 430.499995 438.750016 9000 407.381631
2014-08-14 436.890015 450.000012 436.890015 447.999996 26700 415.970284
2014-08-15 408 408 395 395.700012 26400 395.700012
2014-08-18 397.23999 398.200012 383.01001 385.75 15500 385.75
2014-08-19 390.5 390.5 380.399994 386.48999 14500 386.48999
2014-08-20 386.5 386.5 377.899994 378.5 12500 378.5
2014-08-21 380.029999 380.029999 371.01001 374.549988 15500 374.549988
2014-08-22 380 380 363.170013 365 20400 365
2014-08-25 365.269989 366 360.01001 362.899994 16000 362.899994
2014-08-26 361.279999 370.25 361.040009 367.049988 18500 367.049988
2014-08-27 371.450012 371.450012 361.899994 363.079987 13800 363.079987
2014-08-28 361.130005 364.920013 360.109985 363 11000 363
2014-08-29 365.779999 365.98999 356.700012 359.350006 12100 359.350006
2014-09-02 356.420013 358.690002 347.320007 348.790009 32900 348.790009
2014-09-03 349.220001 349.220001 340.869995 342.790009 39300 342.790009
2014-09-04 344.48999 348.890015 341.369995 344.160004 27800 344.160004
2014-09-05 344.559998 345.890015 340.100006 341.920013 28100 341.920013
2014-09-08 340.26001 348.890015 340.059998 347.640015 14800 347.640015
2014-09-09 349.25 349.649994 344.200012 346.01001 12200 346.01001
2014-09-10 346.01001 351.5 344.529999 351.040009 19600 351.040009
2014-09-11 350.109985 361.98999 345.350006 359.25 24300 359.25
2014-09-12 359 361.859985 355.089996 355.640015 15300 355.640015
2014-09-15 356.549988 356.970001 344 345.73999 20900 345.73999
2014-09-16 346.079987 350 345 345.529999 8800 345.529999
2014-09-17 346.480011 347.929993 345.320007 346.26001 7600 346.26001
2014-09-18 348.549988 349 344 344 6400 344
2014-09-19 343.329987 346 342.5 342.540009 19700 342.540009
2014-09-22 342.5 343.920013 336.570007 338.880005 17500 338.880005
2014-09-23 336.559998 346.649994 336.019989 340.980011 21400 340.980011
2014-09-24 341.109985 349.959991 340.920013 349 8800 349
2014-09-25 348.899994 350 343.019989 343.26001 9400 343.26001
2014-09-26 343.23999 350 343.23999 345 5000 345
2014-09-29 342.529999 345 340 340.779999 10900 340.779999
2014-09-30 339.779999 343.029999 336.109985 339.76001 14500 339.76001
2014-10-01 340.26001 343.98999 327.700012 332.75 21600 332.75
2014-10-02 333.720001 339.350006 329 336.100006 10800 336.100006
2014-10-03 339.299988 339.980011 335 337.019989 12000 337.019989
2014-10-06 338.5 339.980011 334.209991 334.26001 8300 334.26001
2014-10-07 331.119995 338.410004 327.700012 328.959991 14300 328.959991
2014-10-08 329 334.890015 327.670013 332.549988 8200 332.549988
2014-10-09 331.040009 331.559998 323.700012 324.350006 9800 324.350006
2014-10-10 323.609985 329.980011 321.869995 323.179993 7200 323.179993
2014-10-13 325.570007 327.950012 320.670013 320.950012 6900 320.950012
2014-10-14 321.820007 332 320.5 330.73999 7100 330.73999
2014-10-15 325.829987 327.700012 320.019989 322.079987 11800 322.079987
2014-10-16 319.369995 334.390015 318.899994 331.109985 5100 331.109985
2014-10-17 335.709991 336.799988 325.869995 327.959991 8700 327.959991
2014-10-20 328.5 333.799988 321.149994 330.25 12300 330.25
2014-10-21 330.179993 330.25 326.040009 330 4100 330
2014-10-22 330.779999 330.779999 321.850006 325.029999 5700 325.029999
2014-10-23 326.820007 336.619995 325.200012 327.890015 6500 327.890015
2014-10-24 327.829987 329.98999 325.019989 329.809998 6600 329.809998
2014-10-27 326.690002 330.019989 325.51001 326.380005 6600 326.380005
2014-10-28 326.700012 339 326.029999 337.98999 8100 337.98999
2014-10-29 339.429993 342 334.450012 338.640015 4000 338.640015
2014-10-30 338.600006 347.579987 312 347.459991 7100 347.459991
2014-10-31 350.25 354.380005 347 349.160004 9500 349.160004
2014-11-03 350.600006 351 342.079987 343.600006 5200 343.600006
2014-11-04 342.309998 348.350006 338.359985 342.450012 4400 342.450012
2014-11-05 345 350.399994 345 348.190002 3300 348.190002
2014-11-06 348.100006 354 346.119995 350.209991 4600 350.209991
2014-11-07 351.100006 352.980011 347.230011 348.380005 5300 348.380005
2014-11-10 348.839996 358.890015 348.320007 358.890015 5100 358.890015
2014-11-11 359.98999 360.589996 355.01001 359.200012 5400 359.200012
2014-11-12 356.480011 363.640015 356.480011 362.779999 3900 362.779999
2014-11-13 364.980011 367.899994 360.029999 362.420013 4300 362.420013
2014-11-14 363.690002 369.799988 362 362.26001 8600 362.26001
2014-11-17 360.929993 366.720001 357 358 7900 358
2014-11-18 359.320007 362.779999 356.059998 357.809998 7300 357.809998
2014-11-19 355.940002 358.5 348 349.980011 5800 349.980011
2014-11-20 350.119995 356.230011 345.01001 346 6000 346
2014-11-21 353.529999 353.529999 347.019989 347.359985 4100 347.359985
2014-11-24 350 362.579987 350 362.579987 16800 362.579987
2014-11-25 362.200012 364.679993 359.450012 363.329987 7800 363.329987
2014-11-26 365.420013 373.790009 360.399994 373.790009 11500 373.790009
2014-11-28 370.959991 375 367.700012 371.450012 5900 371.450012
2014-12-01 371.709991 378.459991 368.890015 373.679993 9300 373.679993
2014-12-02 374.25 378.48999 370.980011 376.950012 5300 376.950012
2014-12-03 376 376.5 368.100006 369.51001 4700 369.51001
2014-12-04 369.559998 373.75 367.5 372.380005 5100 372.380005
2014-12-05 371.980011 377.980011 367.140015 374.690002 4000 374.690002
2014-12-08 374.230011 378 371 373.01001 4400 373.01001
2014-12-09 371.290009 379 371.290009 377.019989 6100 377.019989
2014-12-10 374.529999 380 371 373.609985 6800 373.609985
2014-12-11 375.339996 380 373.5 375.26001 3500 375.26001
