"Index" "M6J.Open" "M6J.High" "M6J.Low" "M6J.Close" "M6J.Volume" "M6J.Adjusted"
2014-09-26 0.115 0.126 0.115 0.126 0 0.126
2014-09-29 0.129 0.129 0.123 0.125 0 0.125
2014-09-30 0.121 0.131 0.121 0.131 0 0.131
2014-10-01 0.126 0.126 0.123 0.123 0 0.123
2014-10-02 0.127 0.127 0.123 0.123 0 0.123
2014-10-03 0.123 0.123 0.123 0.123 0 0.123
2014-10-06 0.116 0.133 0.116 0.128 0 0.128
2014-10-07 0.126 0.127 0.116 0.116 0 0.116
2014-10-08 0.111 0.116 0.111 0.115 0 0.115
2014-10-09 0.112 0.115 0.112 0.112 0 0.112
2014-10-10 0.101 0.109 0.094 0.109 0 0.109
2014-10-13 0.103 0.11 0.103 0.11 0 0.11
2014-10-14 0.11 0.111 0.11 0.111 0 0.111
2014-10-15 0.11 0.11 0.092 0.097 0 0.097
2014-10-16 0.087 0.11 0.087 0.104 0 0.104
2014-10-17 0.094 0.111 0.094 0.111 0 0.111
2014-10-20 0.11 0.111 0.11 0.11 0 0.11
2014-10-21 0.11 0.111 0.101 0.101 0 0.101
2014-10-22 0.11 0.111 0.11 0.111 0 0.111
2014-10-23 0.11 0.111 0.108 0.108 10000 0.108
2014-10-24 0.08 0.082 0.08 0.082 0 0.082
2014-10-27 0.086 0.086 0.083 0.084 0 0.084
2014-10-28 0.078 0.082 0.075 0.075 0 0.075
2014-10-29 0.072 0.079 0.072 0.079 2000 0.079
2014-10-30 0.077 0.079 0.077 0.077 0 0.077
2014-10-31 0.066 0.077 0.066 0.077 0 0.077
2014-11-03 0.066 0.083 0.066 0.08 0 0.08
2014-11-04 0.069 0.072 0.069 0.072 0 0.072
2014-11-05 0.068 0.08 0.068 0.08 0 0.08
2014-11-06 0.069 0.079 0.069 0.076 0 0.076
2014-11-07 0.08 0.102 0.08 0.102 0 0.102
2014-11-10 0.108 0.144 0.108 0.144 0 0.144
2014-11-11 0.147 0.16 0.128 0.134 35000 0.134
2014-11-12 0.133 0.138 0.133 0.138 0 0.138
2014-11-13 0.13 0.137 0.13 0.137 0 0.137
2014-11-14 0.128 0.141 0.128 0.141 0 0.141
2014-11-17 0.154 0.155 0.148 0.148 0 0.148
2014-11-18 0.147 0.152 0.147 0.147 0 0.147
2014-11-19 0.146 0.15 0.146 0.148 0 0.148
2014-11-20 0.138 0.144 0.138 0.144 0 0.144
2014-11-21 0.129 0.136 0.129 0.136 0 0.136
2014-11-24 0.121 0.124 0.121 0.124 0 0.124
2014-11-25 0.108 0.128 0.108 0.128 0 0.128
2014-11-26 0.131 0.131 0.122 0.125 0 0.125
2014-11-27 0.123 0.123 0.119 0.121 0 0.121
2014-11-28 0.114 0.119 0.114 0.119 0 0.119
2014-12-01 0.121 0.122 0.105 0.115 0 0.115
2014-12-02 0.108 0.109 0.102 0.102 0 0.102
2014-12-03 0.109 0.113 0.109 0.113 0 0.113
2014-12-04 0.11 0.11 0.105 0.105 0 0.105
2014-12-05 0.094 0.109 0.094 0.106 0 0.106
2014-12-08 0.102 0.105 0.098 0.099 0 0.099
2014-12-09 0.09 0.094 0.09 0.094 0 0.094
2014-12-10 0.09 0.092 0.087 0.092 0 0.092
2014-12-11 0.083 0.086 0.082 0.086 0 0.086
2014-12-12 0.078 0.082 0.075 0.079 0 0.079
2014-12-15 0.067 0.074 0.066 0.066 0 0.066
2014-12-16 0.052 0.065 0.052 0.065 0 0.065
2014-12-17 0.053 0.075 0.053 0.075 0 0.075
2014-12-18 0.075 0.091 0.075 0.086 0 0.086
2014-12-19 0.079 0.091 0.079 0.091 0 0.091
2014-12-22 0.083 0.083 0.08 0.083 0 0.083
2014-12-23 0.061 0.077 0.061 0.077 0 0.077
2014-12-24 0.077 0.077 0.077 0.077 0 0.077
2014-12-25 0.077 0.077 0.077 0.077 0 0.077
2014-12-26 0.077 0.077 0.077 0.077 0 0.077
2014-12-29 0.076 0.076 0.066 0.074 0 0.074
2014-12-30 0.062 0.062 0.062 0.062 0 0.062
2014-12-31 0.062 0.062 0.062 0.062 0 0.062
2015-01-01 0.062 0.062 0.062 0.062 0 0.062
2015-01-02 0.07 0.073 0.07 0.073 0 0.073
2015-01-05 0.076 0.085 0.071 0.071 0 0.071
2015-01-06 0.059 0.07 0.059 0.07 0 0.07
2015-01-07 0.069 0.074 0.069 0.074 0 0.074
2015-01-08 0.067 0.071 0.067 0.071 0 0.071
2015-01-09 0.071 0.073 0.07 0.073 0 0.073
2015-01-12 0.069 0.083 0.069 0.083 0 0.083
2015-01-13 0.073 0.08 0.073 0.08 0 0.08
2015-01-14 0.069 0.077 0.069 0.077 0 0.077
2015-01-15 0.065 0.078 0.065 0.078 0 0.078
2015-01-16 0.071 0.072 0.071 0.072 0 0.072
2015-01-19 0.067 0.078 0.067 0.078 0 0.078
2015-01-20 0.068 0.078 0.067 0.078 0 0.078
2015-01-21 0.067 0.07 0.066 0.069 0 0.069
2015-01-22 0.067 0.077 0.067 0.07 0 0.07
2015-01-23 0.065 0.071 0.065 0.071 0 0.071
2015-01-26 0.071 0.077 0.07 0.077 0 0.077
2015-01-27 0.07 0.07 0.067 0.067 0 0.067
