"Index" "MKC.Open" "MKC.High" "MKC.Low" "MKC.Close" "MKC.Volume" "MKC.Adjusted"
2015-02-10 73.910004 74.669998 73.690002 74.309998 291400 73.193595
2015-02-11 74.349998 74.669998 73.400002 73.970001 418500 72.858706
2015-02-12 73.720001 74.339996 73.599998 74.309998 460500 73.193595
2015-02-13 73.959999 74.760002 73.730003 74.639999 456100 73.518639
2015-02-17 74.620003 74.93 73.970001 74.57 572300 73.449691
2015-02-18 74.279999 75.970001 74.099998 75.769997 573300 74.631659
2015-02-19 75.629997 75.739998 75.089996 75.290001 372100 74.158875
2015-02-20 75.220001 75.889999 74.660004 75.839996 529000 74.700607
2015-02-23 75.830002 75.989998 75.120003 75.379997 313300 74.247519
2015-02-24 75.239998 75.589996 74.660004 75.410004 479500 74.277075
2015-02-25 75.279999 75.800003 75.080002 75.459999 343100 74.326319
2015-02-26 75.470001 75.660004 75.029999 75.379997 316200 74.247519
2015-02-27 75.470001 75.68 75.220001 75.379997 346300 74.247519
2015-03-02 75.379997 75.599998 74.889999 75.400002 515200 74.267223
2015-03-03 75.129997 75.43 74.739998 75.25 291500 74.119475
2015-03-04 74.980003 75.18 74.209999 74.839996 392900 73.715631
2015-03-05 75.150002 75.150002 74.120003 74.730003 426600 73.60729
2015-03-06 74.260002 74.389999 73.199997 73.449997 451600 72.346514
2015-03-09 73.489998 73.989998 73.32 73.830002 273800 72.72081
2015-03-10 73.5 73.830002 72.5 72.519997 482200 71.430486
2015-03-11 72.510002 72.519997 71.769997 72.18 473900 71.095598
2015-03-12 71.459999 72.980003 71.349998 72.940002 926500 71.844182
2015-03-13 72.959999 73.120003 71.730003 71.980003 623800 70.898605
2015-03-16 72.120003 72.690002 71.980003 72.620003 599000 71.52899
2015-03-17 72.230003 72.459999 71.410004 72.019997 667000 70.937998
2015-03-18 71.970001 72.910004 71.010002 72.489998 1053000 71.400938
2015-03-19 72.43 72.660004 71.870003 72.400002 480200 71.312294
2015-03-20 72.519997 73.120003 72.489998 72.879997 1062800 71.785078
2015-03-23 72.970001 73.629997 72.879997 73.199997 1096900 72.10027
2015-03-24 75.529999 77.790001 75 75.120003 2779600 73.991431
2015-03-25 75.860001 77.480003 75.550003 75.989998 1841200 74.848355
2015-03-26 76.169998 77.220001 75.919998 76.849998 1186800 75.695436
2015-03-27 76.989998 77.389999 76.669998 77.330002 846300 76.168228
2015-03-30 77.459999 78.110001 77.029999 78.019997 918600 76.847856
2015-03-31 77.830002 78.239998 77.110001 77.110001 998600 75.951532
2015-04-01 76.660004 76.709999 75.709999 76.279999 965900 75.525784
2015-04-02 76.349998 77.330002 76.349998 76.860001 855300 76.100051
2015-04-06 76.760002 78.449997 76.760002 78.269997 1528300 77.496105
