"Index" "H2L.Open" "H2L.High" "H2L.Low" "H2L.Close" "H2L.Volume" "H2L.Adjusted"
2015-01-27 32.972 32.972 32.972 32.972 0 32.972
2015-01-28 32.036 32.036 32.036 32.036 0 32.036
2015-01-29 30.752 30.752 30.752 30.752 0 30.752
2015-01-30 30.431 30.438 30.431 30.438 0 30.438
2015-02-02 29.845 29.845 29.845 29.845 0 29.845
2015-02-03 30.289 30.289 30.289 30.289 0 30.289
2015-02-04 30.093 30.093 30.093 30.093 0 30.093
2015-02-05 30.804 30.804 30.804 30.804 0 30.804
2015-02-06 31.208 31.208 31.208 31.208 0 31.208
2015-02-09 32.369 32.369 32.369 32.369 0 32.369
2015-02-10 32.26 32.26 32.26 32.26 0 32.26
2015-02-11 32.714 32.714 32.714 32.714 0 32.714
2015-02-12 32.697 32.697 32.697 32.697 0 32.697
2015-02-13 33.034 33.034 33.034 33.034 0 33.034
2015-02-16 33.127 33.127 33.127 33.127 0 33.127
2015-02-17 33.33 33.33 33.33 33.33 0 33.33
2015-02-18 33.38 33.38 33.38 33.38 0 33.38
2015-02-19 32.532 32.532 32.532 32.532 0 32.532
2015-02-20 32.498 32.498 32.498 32.498 0 32.498
2015-02-23 33.138 33.138 33.138 33.138 0 33.138
2015-02-24 33.077 33.077 33.077 33.077 0 33.077
2015-02-25 32.978 32.978 32.978 32.978 0 32.978
2015-02-26 33.365 33.365 33.365 33.365 0 33.365
2015-02-27 33.881 33.881 33.881 33.881 0 33.881
2015-03-02 31.642 31.642 31.642 31.642 0 31.642
2015-03-03 31.871 31.871 31.871 31.871 0 31.871
2015-03-04 29.709 29.709 29.709 29.709 0 29.709
2015-03-05 31.53 31.53 31.53 31.53 0 31.53
2015-03-06 31.654 31.654 31.654 31.654 0 31.654
2015-03-09 31.227 31.227 31.227 31.227 0 31.227
2015-03-10 31.869 31.869 31.869 31.869 0 31.869
2015-03-11 32.063 32.063 32.063 32.063 0 32.063
2015-03-12 32.463 32.463 32.463 32.463 0 32.463
2015-03-13 33.337 33.337 33.337 33.337 0 33.337
2015-03-16 32.959 32.959 32.959 32.959 0 32.959
2015-03-17 32.562 32.562 32.562 32.562 0 32.562
2015-03-18 32.416 32.416 32.416 32.416 0 32.416
2015-03-19 32.203 32.203 32.203 32.203 0 32.203
2015-03-20 32.599 32.599 32.599 32.599 0 32.599
2015-03-23 33.21 33.21 33.21 33.21 0 33.21
2015-03-24 33.912 33.912 33.912 33.912 0 33.912
2015-03-25 33.518 33.518 33.518 33.518 0 33.518
2015-03-26 32.312 32.312 32.312 32.312 0 32.312
2015-03-27 33.32 33.32 33.32 33.32 0 33.32
2015-03-30 34.517 34.517 34.517 34.517 0 34.517
2015-03-31 35.008 35.008 35.008 35.008 0 35.008
2015-04-01 34.621 34.621 34.621 34.621 0 34.621
2015-04-02 35.172 35.172 35.172 35.172 0 35.172
2015-04-03 35.172 35.172 35.172 35.172 0 35.172
2015-04-06 35.172 35.172 35.172 35.172 0 35.172
2015-04-07 34.767 34.767 34.767 34.767 0 34.767
2015-04-08 35.035 35.035 35.035 35.035 0 35.035
2015-04-09 35.442 35.442 35.442 35.442 0 35.442
2015-04-10 35.533 35.533 35.533 35.533 0 35.533
2015-04-13 36.012 36.012 36.012 36.012 0 36.012
2015-04-14 36.535 36.535 36.535 36.535 0 36.535
2015-04-15 36.401 36.401 36.401 36.401 0 36.401
2015-04-16 36.153 36.153 36.153 36.153 0 36.153
2015-04-17 36.582 36.582 36.582 36.582 0 36.582
2015-04-20 36.164 36.164 36.164 36.164 0 36.164
2015-04-21 36.324 36.324 36.324 36.324 0 36.324
2015-04-22 37.216 37.216 37.216 37.216 0 37.216
2015-04-23 37.788 37.788 37.788 37.788 0 37.788
2015-04-24 36.919 36.919 36.919 36.919 0 36.919
2015-04-27 36.695 36.695 36.695 36.695 0 36.695
2015-04-28 36.33 36.33 36.33 36.33 0 36.33
2015-04-29 36.647 36.647 36.647 36.647 0 36.647
2015-04-30 36.999 36.999 36.999 36.999 0 36.999
2015-05-01 36.999 36.999 36.999 36.999 0 36.999
2015-05-04 35.15 35.15 35.15 35.15 0 35.15
2015-05-05 34.728 34.728 34.728 34.728 0 34.728
2015-05-06 34.579 34.579 34.579 34.579 0 34.579
2015-05-07 34.04 34.04 34.04 34.04 0 34.04
2015-05-08 35.193 35.193 35.193 35.193 0 35.193
2015-05-11 34.802 34.802 34.802 34.802 0 34.802
