"Index" "MJC.Open" "MJC.High" "MJC.Low" "MJC.Close" "MJC.Volume" "MJC.Adjusted"
2014-07-21 2 2 2 2 0 1.94845
2014-07-22 2 2 2 2 20000 1.94845
2014-07-23 2 2 1.92 2 82000 1.94845
2014-07-24 1.97 2 1.97 2 63000 1.94845
2014-07-25 2 2 2 2 0 1.94845
2014-07-28 1.92 1.95 1.81 1.94 133000 1.89
2014-07-29 1.94 1.94 1.94 1.94 0 1.89
2014-07-30 1.99 2 1.99 2 51000 1.94845
2014-07-31 2 2 1.97 2 210000 1.94845
2014-08-01 1.98 1.99 1.98 1.99 125000 1.93871
2014-08-04 1.98 2.14 1.98 2.14 649000 2.08485
2014-08-05 2.14 2.14 2.05 2.1 68000 2.04588
2014-08-06 2.05 2.06 2.03 2.06 250000 2.00691
2014-08-07 2.04 2.04 2.03 2.03 140000 1.97768
2014-08-08 1.96 1.96 1.96 1.96 2000 1.90948
2014-08-11 2 2.01 1.95 2.01 24000 1.9582
2014-08-12 2 2 1.95 2 24000 1.94845
2014-08-13 2 2 2 2 10000 1.94845
2014-08-14 2 2 2 2 0 1.94845
2014-08-15 2 2 2 2 12000 1.94845
2014-08-18 1.95 1.99 1.9 1.98 66000 1.92897
2014-08-19 1.98 1.99 1.98 1.99 39000 1.93871
2014-08-20 1.99 1.99 1.99 1.99 0 1.93871
2014-08-21 1.99 1.99 1.99 1.99 0 1.93871
2014-08-22 1.99 1.99 1.99 1.99 0 1.93871
2014-08-25 1.99 1.99 1.99 1.99 0 1.93871
2014-08-26 1.98 1.99 1.98 1.99 49000 1.93871
2014-08-27 1.97 2 1.97 2 129000 1.94845
2014-08-28 1.99 1.99 1.99 1.99 45000 1.93871
2014-08-29 2 2 2 2 48000 1.94845
2014-09-01 1.9 2 1.9 2 20000 1.94845
2014-09-02 1.99 2 1.9 1.9 70000 1.85103
2014-09-03 2 2 1.8 1.8 160000 1.75361
2014-09-04 1.95 2.09 1.9 2 338000 1.94845
2014-09-05 2.08 2.1 2 2.09 89000 2.03613
2014-09-08 2.09 2.09 2.08 2.08 40000 2.02639
2014-09-09 2 2 2 2 2000 1.94845
2014-09-10 2 2 2 2 20000 1.94845
2014-09-11 1.91 2 1.91 2 19000 1.94845
2014-09-12 2 2 2 2 0 1.94845
2014-09-15 2 2 2 2 20000 1.94845
2014-09-16 1.92 2 1.92 2 22000 1.94845
2014-09-17 1.98 2 1.98 2 69000 1.94845
2014-09-18 2 2 2 2 20000 1.94845
2014-09-19 2 2 2 2 0 1.94845
