"Index" "UA.Open" "UA.High" "UA.Low" "UA.Close" "UA.Volume" "UA.Adjusted"
2014-05-23 47.970001 48.439999 47.700001 48.369999 1292300 48.369999
2014-05-27 49 49.919998 48.84 49.849998 3192600 49.849998
2014-05-28 50.049999 50.25 49.299999 50.150002 4202700 50.150002
2014-05-29 50.16 50.810001 49.84 50.790001 3480100 50.790001
2014-05-30 50.880001 50.970001 50.290001 50.790001 3019800 50.790001
2014-06-02 51 51.73 50.66 51.470001 2781800 51.470001
2014-06-03 51.209999 51.369999 50.84 51.099998 2971800 51.099998
2014-06-04 52.02 53.990002 51.07 53.619999 5554000 53.619999
2014-06-05 53.75 55.080002 52.57 55.049999 5653300 55.049999
2014-06-06 55.049999 56.040001 54.799999 56.009998 4107500 56.009998
2014-06-09 55.93 56.380001 55.299999 55.860001 2370000 55.860001
2014-06-10 55.709999 56.5 55.650002 56.189999 2058300 56.189999
2014-06-11 55.66 56.07 55.369999 56.029999 1779700 56.029999
2014-06-12 55.799999 57 55.77 56.610001 2389400 56.610001
2014-06-13 56.439999 57.830002 56.259998 57.509998 2368000 57.509998
2014-06-16 57.470001 58.59 57.310001 58.509998 2237400 58.509998
2014-06-17 58.470001 60.130001 58.380001 59.59 3320600 59.59
2014-06-18 59.52 59.810001 58.040001 59.650002 2440300 59.650002
2014-06-19 59.740002 59.740002 58.27 58.740002 1798000 58.740002
2014-06-20 58.889999 59.049999 58.57 58.880001 2281800 58.880001
2014-06-23 59.049999 59.150002 57.889999 58.450001 2865600 58.450001
2014-06-24 58.48 59.139999 57.75 57.82 2383700 57.82
2014-06-25 57.790001 59.200001 57.759998 59.16 1823700 59.16
2014-06-26 59.139999 59.560001 58.509998 59.169998 1645900 59.169998
2014-06-27 59.259998 59.75 59.080002 59.490002 2156500 59.490002
2014-06-30 59.48 60.169998 59.07 59.490002 2680900 59.490002
2014-07-01 59.720001 60.790001 59.419998 60.279999 2077300 60.279999
2014-07-02 60.369999 60.57 59.18 59.259998 1808800 59.259998
2014-07-03 59.66 60.400002 59.459999 60.25 954500 60.25
2014-07-07 60.189999 60.59 58.869999 59.330002 1641100 59.330002
2014-07-08 59.369999 59.48 56.91 58.220001 3352500 58.220001
2014-07-09 58.529999 59.970001 58.43 59.91 2582500 59.91
2014-07-10 58.669998 58.950001 57.330002 58.189999 4897200 58.189999
2014-07-11 58.459999 58.82 58.25 58.740002 1380100 58.740002
2014-07-14 59.240002 59.299999 58.68 58.98 1119000 58.98
2014-07-15 58.700001 58.810001 57.599998 58.369999 1770200 58.369999
2014-07-16 58.75 58.869999 57.279999 57.34 2089500 57.34
2014-07-17 57.189999 57.990002 56.790001 57 1800800 57
2014-07-18 57.5 58.77 57.23 58.610001 2005300 58.610001
2014-07-21 58.290001 59.48 58.049999 58.959999 1943000 58.959999
2014-07-22 59.25 60.630001 59.220001 60.259998 2169900 60.259998
2014-07-23 60.209999 60.68 59.5 60.630001 2722500 60.630001
2014-07-24 65.510002 70.25 65.5 69.550003 12575200 69.550003
2014-07-25 69.010002 70.940002 68.889999 69.110001 4192000 69.110001
2014-07-28 69.050003 70.089996 68.339996 69.629997 2388100 69.629997
2014-07-29 69.980003 69.980003 68.68 68.849998 2133600 68.849998
2014-07-30 69.239998 69.660004 68.68 69.220001 2829000 69.220001
2014-07-31 68.260002 68.970001 66.279999 66.75 4522000 66.75
2014-08-01 66.919998 67.889999 66.449997 67.440002 2647900 67.440002
2014-08-04 67.949997 68.639999 67.18 68.279999 1727300 68.279999
2014-08-05 68.050003 68.910004 67.699997 68.349998 2038500 68.349998
2014-08-06 67.610001 68.919998 67.18 68.239998 1829600 68.239998
2014-08-07 68.5 68.989998 67.410004 67.739998 1443300 67.739998
2014-08-08 67.949997 68.589996 67.169998 68.489998 1522700 68.489998
2014-08-11 68.900002 69.400002 68.150002 68.900002 1623500 68.900002
2014-08-12 69.029999 70.07 68.099998 68.360001 2028400 68.360001
2014-08-13 68.589996 69.269997 68 69.089996 1885900 69.089996
2014-08-14 69.389999 69.449997 68.360001 68.800003 1435000 68.800003
2014-08-15 69.230003 69.510002 68.089996 68.839996 1549600 68.839996
2014-08-18 69.400002 70.410004 69.239998 70.18 2453000 70.18
2014-08-19 70.610001 71.790001 69.639999 70.120003 2122900 70.120003
2014-08-20 69.790001 71.269997 69.589996 70.559998 1588200 70.559998
2014-08-21 70.879997 70.889999 69.080002 69.440002 1680400 69.440002
2014-08-22 69.550003 70.889999 68.889999 70.620003 1682300 70.620003
2014-08-25 71.169998 71.389999 70.459999 70.550003 1199500 70.550003
2014-08-26 70.639999 71.190002 70 70.82 1327700 70.82
2014-08-27 70.690002 70.839996 69.639999 70.059998 1799400 70.059998
2014-08-28 69.790001 69.849998 69.220001 69.68 1559600 69.68
2014-08-29 69.959999 69.980003 68.110001 68.360001 2397400 68.360001
2014-09-02 68.559998 71.169998 68.400002 71.129997 3645700 71.129997
2014-09-03 71.760002 72.379997 70.139999 70.339996 2461800 70.339996
2014-09-04 70.559998 72.650002 70.480003 71.970001 2756200 71.970001
2014-09-05 71.68 72.639999 71.150002 72.529999 1748600 72.529999
2014-09-08 72.529999 73.419998 71.93 72.690002 1555900 72.690002
2014-09-09 72.860001 72.860001 70.370003 70.599998 2225300 70.599998
2014-09-10 70.599998 71.089996 69.510002 70.120003 2059300 70.120003
2014-09-11 70.110001 70.370003 69.330002 69.919998 1856400 69.919998
2014-09-12 70.029999 70.410004 68.620003 69.239998 1801800 69.239998
2014-09-15 69.269997 69.389999 66.230003 67.190002 3056300 67.190002
2014-09-16 67 68.029999 66.510002 67.75 2723900 67.75
2014-09-17 68.190002 69.599998 68.190002 69.089996 2663000 69.089996
2014-09-18 69.230003 69.75 69.059998 69.57 1391000 69.57
2014-09-19 70.059998 70.160004 68.25 68.410004 5474400 68.410004
2014-09-22 68.309998 68.43 65.139999 66.470001 3251400 66.470001
2014-09-23 66.220001 68 66.169998 66.879997 2344200 66.879997
2014-09-24 66.910004 68.739998 66.470001 68.68 1959500 68.68
2014-09-25 68.400002 68.879997 67.5 67.550003 3064900 67.550003
2014-09-26 69.260002 70.57 69.099998 69.82 4507200 69.82
2014-09-29 68.900002 70.290001 68.760002 70.120003 1964900 70.120003
2014-09-30 70.07 70.5 68.879997 69.099998 2505600 69.099998
2014-10-01 68.900002 69.010002 65.620003 66.370003 3311400 66.370003
2014-10-02 66.339996 67.029999 64.440002 66.790001 3139700 66.790001
2014-10-03 67.489998 68.339996 67.150002 67.839996 1990600 67.839996
2014-10-06 68.279999 68.400002 66.5 66.800003 2029700 66.800003
2014-10-07 66.449997 67.139999 65.75 66.010002 1957800 66.010002
2014-10-08 66.089996 67.709999 64.879997 67.510002 2372500 67.510002
2014-10-09 67.449997 67.889999 65.110001 65.370003 2997300 65.370003
2014-10-10 65.370003 65.919998 63.259998 63.720001 2735800 63.720001
2014-10-13 63.509998 63.650002 60.240002 61.639999 4225700 61.639999
2014-10-14 62.220001 62.82 61.09 61.709999 3764900 61.709999
2014-10-15 60.610001 63.299999 60 63.009998 4495600 63.009998
2014-10-16 61.689999 64.82 61.560001 64.629997 2913500 64.629997
2014-10-17 65.769997 66.480003 64.900002 65.129997 2919100 65.129997
2014-10-20 65.07 65.540001 64.599998 65.110001 2733800 65.110001
