"Index" "NYF.Open" "NYF.High" "NYF.Low" "NYF.Close" "NYF.Volume" "NYF.Adjusted"
2014-12-23 111.5 111.5 111.230003 111.290001 4900 108.636004
2014-12-24 111 111.230003 110.900002 110.900002 2500 108.488286
2014-12-26 111.040001 111.040001 110.720001 110.830002 2800 108.419809
2014-12-29 110.940002 111.18 110.940002 111.059998 2200 108.644803
2014-12-30 111.029999 111.360001 110.940002 111.339996 18900 108.918713
2014-12-31 111.269997 111.510002 111.059998 111.470001 6300 109.04589
2015-01-02 111.18 111.510002 111.18 111.349998 3700 108.928497
2015-01-05 111.5 111.860001 111.5 111.839996 5800 109.407839
2015-01-06 112.089996 112.150002 111.839996 112 15100 109.564363
2015-01-07 112.209999 112.279999 111.959999 112.129997 5100 109.691534
2015-01-08 112.150002 112.25 112.129997 112.129997 9400 109.691534
2015-01-09 111.860001 112.349998 111.860001 112.339996 3600 109.896966
2015-01-12 111.959999 112.489998 111.959999 112.489998 2800 110.043705
2015-01-13 112.5 112.5 112.379997 112.489998 2500 110.043705
2015-01-14 112.5 112.989998 112.5 112.989998 11200 110.532832
2015-01-15 112.970001 113.209999 112.970001 113.209999 11700 110.748049
2015-01-16 113.160004 113.160004 112.5 112.949997 8900 110.493701
2015-01-20 112.989998 113.099998 112.989998 113.059998 3600 110.60131
2015-01-21 112.779999 113.080002 112.779999 112.970001 5000 110.51327
2015-01-22 112.910004 112.910004 112.75 112.800003 5700 110.346969
2015-01-23 113.120003 113.120003 112.900002 112.949997 5400 110.493701
2015-01-26 113.099998 113.099998 112.980003 113.099998 7000 110.640441
2015-01-27 113.040001 113.150002 112.959999 112.959999 2800 110.503486
2015-01-28 112.949997 113.25 112.860001 113.129997 11000 110.669787
2015-01-29 113.489998 113.489998 112.82 113.190002 13600 110.728487
2015-01-30 113.099998 113.589996 113.099998 113.589996 9000 111.119783
2015-02-02 113.18 113.290001 112.839996 113.169998 4300 110.952139
2015-02-03 112.489998 113.120003 112.489998 112.940002 12100 110.726651
2015-02-04 112.93 112.93 112.349998 112.790001 8700 110.579589
2015-02-05 112.959999 112.959999 112.360001 112.730003 17100 110.520767
2015-02-06 112.589996 112.589996 111.900002 112.150002 5000 109.952132
2015-02-09 112.080002 112.440002 111.940002 112.230003 9800 110.030566
2015-02-10 112.400002 113.639999 112.010002 112.269997 14900 110.069775
2015-02-11 112.120003 112.150002 111.779999 111.800003 7900 109.608992
2015-02-12 112.360001 112.360001 111.760002 111.809998 12900 109.618791
2015-02-13 111.910004 112.230003 111.550003 111.550003 2400 109.363892
2015-02-17 111.639999 111.839996 111.139999 111.57 17000 109.383497
2015-02-18 111.830002 111.900002 111.599998 111.900002 8400 109.707031
2015-02-19 111.769997 111.769997 111.5 111.510002 1600 109.324675
2015-02-20 111.970001 111.970001 111.660004 111.730003 4800 109.540365
2015-02-23 111.900002 111.989998 111.769997 111.989998 7600 109.795264
2015-02-24 111.769997 111.989998 111.489998 111.910004 7900 109.716837
2015-02-25 111.760002 111.989998 111.760002 111.959999 3100 109.765853
2015-02-26 111.900002 111.959999 111.660004 111.660004 3300 109.471737
2015-02-27 111.910004 111.989998 111.669998 111.959999 6900 109.765853
2015-03-02 111.720001 111.720001 111.25 111.279999 15800 109.348228
2015-03-03 111.519997 111.519997 111.389999 111.480003 2700 109.54476
2015-03-04 111.410004 111.57 111.349998 111.370003 6300 109.436669
2015-03-05 111.169998 111.470001 111.169998 111.370003 9600 109.436669
2015-03-06 110.760002 111.190002 110.650002 110.650002 10700 108.729167
2015-03-09 111.230003 111.230003 110.470001 110.470001 18700 108.552291
2015-03-10 111.07 111.089996 110.540001 111.040001 18000 109.112396
2015-03-11 110.489998 110.849998 110.489998 110.709999 4400 108.788123
2015-03-12 111.120003 111.129997 110.849998 110.900002 5400 108.974827
2015-03-13 111.089996 111.239998 110.760002 111.160004 7000 109.230315
2015-03-16 111.379997 111.419998 110.809998 111.010002 11500 109.082918
2015-03-17 111.300003 111.400002 111.129997 111.160004 6300 109.230315
2015-03-18 111.230003 111.839996 111.080002 111.730003 6200 109.79042
2015-03-19 111.839996 111.900002 111.339996 111.849998 35500 109.908332
2015-03-20 111.989998 111.989998 111.529999 111.910004 2600 109.967296
2015-03-23 111.919998 112 111.919998 112 5700 110.05573
2015-03-24 112 112 111.769997 111.769997 4600 109.829719
2015-03-25 112 112.040001 111.480003 111.900002 4100 109.957467
2015-03-26 111.720001 112.040001 111.720001 112.010002 10100 110.065558
2015-03-27 111.93 112.239998 111.629997 112.080002 36700 110.134343
2015-03-30 112.059998 112.160004 111.849998 112.080002 11800 110.134343
2015-03-31 112.160004 112.279999 112.089996 112.25 4900 110.30139
2015-04-01 111.989998 112.099998 111.82 112.080002 3400 110.374266
2015-04-02 112 112 111.650002 111.900002 10000 110.197005
2015-04-06 112.199997 112.199997 111.809998 111.809998 7200 110.108371
2015-04-07 111.690002 111.980003 111.690002 111.760002 12100 110.059136
2015-04-08 111.769997 111.980003 111.610001 111.800003 12700 110.098528
2015-04-09 111.82 111.860001 111.440002 111.580002 6800 109.881875
2015-04-10 111.800003 111.800003 111.510002 111.760002 3600 110.059136
2015-04-13 111.800003 111.800003 111.480003 111.699997 2400 110.000044
2015-04-14 111.599998 111.900002 111.599998 111.720001 1400 110.019744
2015-04-15 111.589996 111.870003 111.589996 111.760002 6500 110.059136
2015-04-16 111.620003 111.940002 111.610001 111.839996 7500 110.137913
2015-04-17 111.769997 111.849998 111.559998 111.830002 4100 110.128071
2015-04-20 111.809998 111.889999 111.660004 111.660004 1300 109.96066
2015-04-21 111.790001 111.790001 111.459999 111.459999 13600 109.763699
2015-04-22 111.660004 111.660004 111.43 111.449997 6500 109.753849
2015-04-23 111.300003 111.550003 111.300003 111.440002 4900 109.744007
2015-04-24 111.660004 111.660004 111.43 111.610001 2900 109.911418
2015-04-27 111.669998 111.669998 111.379997 111.650002 9900 109.95081
2015-04-28 111.529999 111.550003 111.410004 111.43 11300 109.734157
2015-04-29 111.32 111.540001 111.300003 111.5 7500 109.803091
2015-04-30 111.300003 111.300003 111.010002 111.150002 2700 109.458419
2015-05-01 110.860001 110.919998 110.629997 110.760002 6600 109.316298
2015-05-04 110.599998 110.849998 110.550003 110.550003 4000 109.109037
2015-05-05 110.599998 110.68 110.379997 110.650002 12500 109.207732
2015-05-06 110.389999 110.510002 110.25 110.510002 6300 109.069557
2015-05-07 110.510002 110.650002 110.230003 110.489998 15500 109.049813
2015-05-08 110.370003 110.550003 110.25 110.440002 8800 109.00047
2015-05-11 110.349998 110.379997 110.040001 110.040001 11400 108.605682
2015-05-12 110.099998 110.410004 110.099998 110.410004 3400 108.970862
2015-05-13 110.489998 110.489998 110.120003 110.230003 10800 108.793208
2015-05-14 110.400002 110.410004 110.25 110.25 2000 108.812944
2015-05-15 110.18 110.300003 110.120003 110.160004 2500 108.724121
