"Index" "GS.Open" "GS.High" "GS.Low" "GS.Close" "GS.Volume" "GS.Adjusted"
2014-04-04 167.009995 167.039993 162.850006 163.240005 3262500 160.106941
2014-04-07 162.949997 163.199997 158.440002 158.559998 4650800 155.516757
2014-04-08 158.699997 158.759995 155.479996 156.559998 6839900 153.555143
2014-04-09 157.110001 159 156.419998 158.160004 4010000 155.12444
2014-04-10 158.410004 158.880005 155.809998 155.979996 4806600 152.986273
2014-04-11 154.449997 154.490005 151.649994 152.720001 6460700 149.788847
2014-04-14 154.800003 155.130005 153.419998 154.740005 3053700 151.770082
2014-04-15 155 156.020004 153.100006 154.919998 3639600 151.94662
2014-04-16 156.339996 157.289993 155.119995 157.220001 3194200 154.202479
2014-04-17 161.029999 161.440002 157.350006 157.440002 4525200 154.418257
2014-04-21 157.5 158.270004 156.229996 157.800003 4551700 154.771349
2014-04-22 157.639999 160.809998 157.270004 160.460007 4547300 157.380299
2014-04-23 160.259995 160.940002 159.279999 160.449997 2040600 157.370481
2014-04-24 161.039993 162.110001 160.589996 160.850006 2934200 157.762813
2014-04-25 160.479996 160.770004 157.910004 158.240005 3302100 155.202906
2014-04-28 158.600006 158.830002 154 156.539993 3897800 153.535522
2014-04-29 157.029999 158.380005 156.639999 158.240005 2160500 155.202906
2014-04-30 158.380005 160.360001 158.190002 159.820007 2745700 156.752583
2014-05-01 159.800003 161 159.699997 160.369995 2079500 157.292015
2014-05-02 160.460007 161.839996 158.570007 158.880005 2561500 155.830622
2014-05-05 156.5 156.899994 154.520004 156.350006 3015700 153.349181
2014-05-06 155.850006 155.850006 154.179993 154.539993 3073100 151.573908
2014-05-07 155.410004 156.309998 153.710007 155.520004 3260900 152.53511
2014-05-08 155.759995 158.220001 155.199997 157.399994 2719600 154.379017
2014-05-09 157.570007 157.899994 155.679993 157.199997 2637000 154.182858
2014-05-12 157.910004 159.949997 157.910004 159.550003 2256100 156.487761
2014-05-13 159.559998 160.899994 159.130005 160.279999 1901500 157.203746
2014-05-14 160.199997 160.889999 159.279999 159.449997 2128700 156.389674
2014-05-15 158.690002 158.960007 155.919998 156.639999 2769300 153.633609
2014-05-16 155.610001 156.970001 154.839996 156.429993 2845600 153.427633
2014-05-19 156.25 157.990005 156.009995 157.669998 1618000 154.643839
2014-05-20 157.479996 157.910004 155.610001 156.350006 2034900 153.349181
2014-05-21 157.160004 159.75 157.130005 159.350006 4226300 156.291602
2014-05-22 158.949997 160.300003 158.649994 159.850006 1645100 156.782006
2014-05-23 159.910004 160.479996 159.509995 160.160004 1210200 157.086054
2014-05-27 161.119995 163.429993 160.580002 161.770004 3248800 158.665154
2014-05-28 160.910004 161.610001 159.779999 161.190002 1855200 158.63563
2014-05-29 161.139999 162 159.619995 160.740005 1779200 158.192764
2014-05-30 160.419998 160.639999 159.160004 159.809998 2206300 157.277494
2014-06-02 159.779999 160.199997 157.910004 160.029999 2125400 157.494009
2014-06-03 159.850006 161.929993 159.279999 161.800003 2408600 159.235964
2014-06-04 161.440002 162.729996 160.860001 162.389999 2098400 159.81661
2014-06-05 162.720001 163.429993 161.559998 162.580002 1859600 160.003602
2014-06-06 162.899994 166.259995 162.899994 166.190002 3478100 163.556395
2014-06-09 166.039993 166.860001 165.639999 166 2377500 163.369403
2014-06-10 165.860001 167.259995 165.479996 166.360001 1684500 163.723699
2014-06-11 165.089996 166.160004 164.690002 165.429993 2004100 162.808429
2014-06-12 165.759995 166.649994 165.020004 165.960007 2309900 163.330044
2014-06-13 166.169998 167.070007 165.419998 165.889999 1761100 163.261146
2014-06-16 165.520004 166.529999 164.449997 165.850006 1756400 163.221786
2014-06-17 165.639999 168.75 165.449997 168.220001 2450000 165.554224
2014-06-18 167.889999 170.100006 167.289993 169.860001 2873200 167.168235
2014-06-19 170 170.160004 168.929993 169.729996 2306900 167.04029
2014-06-20 170.320007 171.080002 169.419998 169.839996 4688200 167.148547
2014-06-23 170.179993 170.619995 169.210007 170.240005 1738500 167.542218
2014-06-24 169.550003 170.550003 167.949997 168.229996 1608000 165.56406
2014-06-25 167.820007 169.020004 167.399994 168.380005 1601200 165.711692
2014-06-26 167 168.110001 166.369995 168.009995 2131200 165.347546
2014-06-27 167.25 167.649994 166.369995 166.779999 3111200 164.137042
2014-06-30 166.869995 167.910004 166.369995 167.440002 1885200 164.786586
2014-07-01 166.350006 168.270004 166.059998 166.809998 2947800 164.166565
2014-07-02 167 167.809998 166.570007 166.889999 1877600 164.245299
2014-07-03 167.830002 169.899994 167.720001 169.460007 1801200 166.774579
2014-07-07 168.970001 168.970001 166.899994 167.779999 1774000 165.121195
2014-07-08 166.740005 166.779999 163.729996 164.910004 2422200 162.29668
2014-07-09 165.240005 165.330002 163.630005 164.669998 1943800 162.060478
2014-07-10 162.220001 163.779999 161.529999 163.419998 2204100 160.830287
2014-07-11 163.020004 165.139999 162.380005 164.800003 2293300 162.188423
2014-07-14 167.179993 167.720001 166.460007 167 3007700 164.353556
2014-07-15 169.699997 170.149994 167.149994 169.169998 4802300 166.489167
2014-07-16 169.199997 170.990005 169 170.470001 3305200 167.768569
2014-07-17 170.210007 171.600006 168.919998 170.139999 3815500 167.443796
2014-07-18 170.410004 171.789993 169.649994 171.470001 2558600 168.752722
2014-07-21 170.169998 172.100006 170.050003 171.720001 2227400 168.99876
2014-07-22 172.380005 175.380005 172.380005 175.020004 3849500 172.246468
2014-07-23 175.210007 177.220001 174.630005 176.820007 3436100 174.017946
2014-07-24 176.800003 177.320007 175.610001 176.259995 2012800 173.466808
2014-07-25 175.910004 176.460007 174.720001 175.399994 2114900 172.620436
2014-07-28 175 176.460007 174.669998 175.949997 2303400 173.161723
2014-07-29 176.169998 177.110001 175.449997 175.539993 3055600 172.758217
2014-07-30 175.960007 177.479996 175.360001 175.759995 2345600 172.974732
2014-07-31 174.440002 175.270004 172.789993 172.869995 3797600 170.13053
2014-08-01 172.380005 172.759995 169.399994 170.25 3140000 167.552054
2014-08-04 170.570007 171.889999 170.050003 171.690002 2103900 168.969237
2014-08-05 171.300003 171.770004 168.889999 169.419998 2746200 166.735205
2014-08-06 168.149994 170.850006 168.020004 169.740005 1711700 167.050141
2014-08-07 170.300003 171.070007 168.740005 169.100006 1920900 166.420284
2014-08-08 169.350006 172.490005 168.679993 172.259995 2250900 169.530196
2014-08-11 172.75 173.410004 171.619995 172.460007 2098000 169.727039
2014-08-12 171.779999 173.110001 171.380005 172.330002 1362900 169.599094
2014-08-13 172.399994 172.889999 171.270004 172.369995 1711100 169.638453
2014-08-14 172.800003 173.100006 171.690002 172.729996 1431400 169.992749
