"Index" "USD.HUF"
2015-07-24 283.4125
2015-07-25 283.996
2015-07-26 283.974
2015-07-27 281.425
2015-07-28 280.068
2015-07-29 279.952
2015-07-30 282.175
2015-07-31 281.044
2015-08-01 279.6375
2015-08-02 279.652
2015-08-03 280.3925
2015-08-04 281.5695
2015-08-05 284.745
2015-08-06 284.327
2015-08-07 284.3315
2015-08-08 283.306
2015-08-09 283.314
2015-08-10 283.344
2015-08-11 282.895
2015-08-12 280.3935
2015-08-13 279.0345
2015-08-14 278.3985
2015-08-15 279.608
2015-08-16 279.61
2015-08-17 279.5605
2015-08-18 279.5395
2015-08-19 280.0225
2015-08-20 278.9685
2015-08-21 277.3995
2015-08-22 276.328
2015-08-23 276.32
2015-08-24 273.5525
2015-08-25 272.0555
2015-08-26 275.3635
2015-08-27 279.173
2015-08-28 279.984
2015-08-29 281.0805
2015-08-30 281.0805
2015-08-31 279.94
2015-09-01 279.051
2015-09-02 279.012
2015-09-03 280.0745
2015-09-04 281.541
2015-09-05 281.572
2015-09-06 281.514
2015-09-07 281.6155
2015-09-08 280.956
2015-09-09 280.762
2015-09-10 280.6745
2015-09-11 278.634
2015-09-12 276.4
2015-09-13 276.45
2015-09-14 276.614
2015-09-15 276.8245
2015-09-16 276.6945
2015-09-17 275.158
2015-09-18 272.137
2015-09-19 274.9
2015-09-20 274.937
2015-09-21 275.751
2015-09-22 278.3555
2015-09-23 279.36
2015-09-24 279.3515
2015-09-25 281.5335
2015-09-26 281.342
2015-09-27 281.361
2015-09-28 281.315
2015-09-29 279.7015
2015-09-30 279.6055
2015-10-01 280.33
2015-10-02 279.0095
2015-10-03 278.2915
2015-10-04 278.2525
2015-10-05 277.998
2015-10-06 278.4785
2015-10-07 276.8175
2015-10-08 277.1695
2015-10-09 275.001
2015-10-10 274.175
2015-10-11 274.1575
2015-10-12 273.399
2015-10-13 273.2465
2015-10-14 272.3375
2015-10-15 270.608
2015-10-16 272.319
2015-10-17 273.4035
2015-10-18 272.795
2015-10-19 273.1175
2015-10-20 273.537
2015-10-21 274.052
2015-10-22 276.2895
2015-10-23 280.397
2015-10-24 283.165
2015-10-25 283.1
2015-10-26 282.2085
2015-10-27 282.129
2015-10-28 282.553
2015-10-29 284.236
2015-10-30 284.236
2015-10-31 282.5275
2015-11-01 282.0705
