"Index" "R6.Open" "R6.High" "R6.Low" "R6.Close" "R6.Volume" "R6.Adjusted"
2014-08-13 431.49 431.49 431.49 431.49 0 431.49
2014-08-14 432.05 432.05 432.05 432.05 0 432.05
2014-08-15 430.68 430.68 430.68 430.68 0 430.68
2014-08-18 432.86 432.86 432.86 432.86 0 432.86
2014-08-19 433.89 433.89 433.89 433.89 0 433.89
2014-08-20 436.56 436.56 436.56 436.56 0 436.56
2014-08-21 438.21 438.21 438.21 438.21 0 438.21
2014-08-22 437.9 437.9 437.9 437.9 0 437.9
2014-08-25 439.14 439.14 439.14 439.14 0 439.14
2014-08-26 438.68 438.68 438.68 438.68 0 438.68
2014-08-27 439.73 439.73 439.73 439.73 0 439.73
2014-08-28 438.81 438.81 438.81 438.81 0 438.81
2014-08-29 439.72 439.72 439.72 439.72 0 439.72
2014-09-01 438.01 438.01 438.01 438.01 0 438.01
2014-09-02 441.71 441.71 441.71 441.71 0 441.71
2014-09-03 443.77 443.77 443.77 443.77 0 443.77
2014-09-04 446.45 446.45 446.45 446.45 0 446.45
2014-09-05 445.75 445.75 445.75 445.75 0 445.75
2014-09-08 446.89 446.89 446.89 446.89 0 446.89
2014-09-09 442.75 442.75 442.75 442.75 0 442.75
2014-09-10 442.42 442.42 442.42 442.42 0 442.42
2014-09-11 440.45 440.45 440.45 440.45 0 440.45
2014-09-12 441.6 441.6 441.6 441.6 0 441.6
2014-09-15 442.1 442.1 442.1 442.1 0 442.1
2014-09-16 442.1 442.1 442.1 442.1 0 442.1
2014-09-17 443.98 443.98 443.98 443.98 0 443.98
2014-09-18 445.14 445.14 445.14 445.14 0 445.14
2014-09-19 441.81 441.81 441.81 441.81 0 441.81
2014-09-22 437.48 437.48 437.48 437.48 0 437.48
2014-09-23 434.8 434.8 434.8 434.8 0 434.8
2014-09-24 435.69 435.69 435.69 435.69 0 435.69
2014-09-25 434.07 434.07 434.07 434.07 0 434.07
2014-09-26 433.5 433.5 433.5 433.5 0 433.5
2014-09-29 433.77 433.77 433.77 433.77 0 433.77
2014-09-30 434.63 434.63 434.63 434.63 0 434.63
2014-10-01 428.88 428.88 428.88 428.88 0 428.88
2014-10-02 427.84 427.84 427.84 427.84 0 427.84
2014-10-03 431.82 431.82 431.82 431.82 0 431.82
2014-10-06 433.18 433.18 433.18 433.18 0 433.18
2014-10-07 430.39 430.39 430.39 430.39 0 430.39
2014-10-08 429.97 429.97 429.97 429.97 0 429.97
2014-10-09 426.18 426.18 426.18 426.18 0 426.18
2014-10-10 420.25 420.25 420.25 420.25 0 420.25
2014-10-13 416.99 416.99 416.99 416.99 0 416.99
2014-10-14 417.48 417.48 417.48 417.48 0 417.48
2014-10-15 415.3 415.3 415.3 415.3 0 415.3
2014-10-16 414.58 414.58 414.58 414.58 0 414.58
2014-10-17 418.18 418.18 418.18 418.18 0 418.18
2014-10-20 417.78 417.78 417.78 417.78 0 417.78
2014-10-21 421.57 421.57 421.57 421.57 0 421.57
2014-10-22 419.9 419.9 419.9 419.9 0 419.9
2014-10-23 422.17 422.17 422.17 422.17 0 422.17
2014-10-24 421.91 421.91 421.91 421.91 0 421.91
2014-10-27 423.19 423.19 423.19 423.19 0 423.19
2014-10-28 425.55 425.55 425.55 425.55 0 425.55
