"Index" "USD.RUB"
2015-06-06 56.625
2015-06-07 56.2847
2015-06-08 56.1034
2015-06-09 55.7995
2015-06-10 54.6535
2015-06-11 54.5428
2015-06-12 54.9231
2015-06-13 55.2305
2015-06-14 54.822
2015-06-15 54.8692
2015-06-16 54.0726
2015-06-17 53.9926
2015-06-18 53.383
2015-06-19 53.9992
2015-06-20 54.05
2015-06-21 54.2033
2015-06-22 53.8093
2015-06-23 54.0666
2015-06-24 54.1715
2015-06-25 54.563
2015-06-26 54.9244
2015-06-27 54.9244
2015-06-28 54.8355
2015-06-29 55.458
2015-06-30 55.6013
2015-07-01 55.5701
2015-07-02 55.6111
2015-07-03 55.7917
2015-07-04 55.7917
2015-07-05 55.9705
2015-07-06 56.4873
2015-07-07 57.179
2015-07-08 57.2174
2015-07-09 57.1654
2015-07-10 56.562
2015-07-11 56.4052
2015-07-12 56.375
2015-07-13 56.6063
2015-07-14 56.6796
2015-07-15 56.776
2015-07-16 56.8663
2015-07-17 56.9178
2015-07-18 56.95
2015-07-19 57.0225
2015-07-20 56.9623
2015-07-21 56.9532
2015-07-22 57.071
2015-07-23 57.4565
2015-07-24 58.3101
2015-07-25 58.3101
2015-07-26 58.371
2015-07-27 59.2258
2015-07-28 60.084
2015-07-29 59.4013
2015-07-30 59.189
2015-07-31 60.5469
2015-08-01 61.6857
2015-08-02 61.6857
2015-08-03 62.6638
2015-08-04 63.0075
2015-08-05 63.1051
2015-08-06 63.8594
2015-08-07 64.1971
2015-08-08 64.044
2015-08-09 64.044
2015-08-10 63.8297
2015-08-11 63.5688
2015-08-12 64.5088
2015-08-13 64.4563
2015-08-14 64.7379
2015-08-15 64.9617
2015-08-16 64.9617
2015-08-17 65.3809
2015-08-18 65.7266
2015-08-19 65.9021
2015-08-20 67.188
2015-08-21 68.3465
2015-08-22 69.1525
2015-08-23 69.1525
2015-08-24 70.6832
2015-08-25 69.4752
2015-08-26 69.3561
2015-08-27 67.13
2015-08-28 66.048
2015-08-29 65.36
2015-08-30 65.36
2015-08-31 65.9586
2015-09-01 65.226
2015-09-02 67.0829
2015-09-03 67.001
2015-09-04 67.5125
2015-09-05 68.4192
2015-09-06 68.3381
2015-09-07 68.6669
2015-09-08 68.4149
2015-09-09 67.9744
2015-09-10 68.101
2015-09-11 67.7874
2015-09-12 67.7832
2015-09-13 67.7832
2015-09-14 67.6059
2015-09-15 67.1334
2015-09-16 65.7024
2015-09-17 65.6413
2015-09-18 65.8769
2015-09-19 66.4346
2015-09-20 66.4492
2015-09-21 66.2513
2015-09-22 66.2322
2015-09-23 66.1184
2015-09-24 66.2775
2015-09-25 65.697
2015-09-26 65.51
2015-09-27 65.51
2015-09-28 65.7429
2015-09-29 65.8707
2015-09-30 65.5745
2015-10-01 65.4242
2015-10-02 66.136
2015-10-03 66.057
2015-10-04 66.057
2015-10-05 65.1627
2015-10-06 64.3024
2015-10-07 62.4177
2015-10-08 62.1908
2015-10-09 61.4186
2015-10-10 61.4186
2015-10-11 61.7275
2015-10-12 61.506
2015-10-13 62.6088
2015-10-14 62.9165
2015-10-15 62.0931
2015-10-16 61.3776
2015-10-17 61.2525
2015-10-18 61.3747
2015-10-19 61.9565
2015-10-20 62.1076
2015-10-21 62.7727
2015-10-22 62.76
2015-10-23 62.2135
2015-10-24 62.2135
2015-10-25 62.0436
2015-10-26 62.6335
2015-10-27 64.3014
2015-10-28 64.6953
2015-10-29 64.2225
2015-10-30 64.2225
2015-10-31 63.865
2015-11-01 64.05
