"Index" "PE.Open" "PE.High" "PE.Low" "PE.Close" "PE.Volume" "PE.Adjusted"
2015-07-10 17.08 17.280001 16.5 16.65 1217900 16.65
2015-07-13 16.639999 16.9 16.139999 16.860001 1321800 16.860001
2015-07-14 16.860001 17.58 16.809999 17.42 1594600 17.42
2015-07-15 17.190001 17.42 16.43 16.709999 1253800 16.709999
2015-07-16 16.99 17.440001 16.299999 16.450001 1037300 16.450001
2015-07-17 16.48 16.6 15.79 16.200001 1602900 16.200001
2015-07-20 16.129999 16.129999 15.38 15.51 1036300 15.51
2015-07-21 15.66 16.190001 15.19 15.44 1709100 15.44
2015-07-22 15.36 15.54 14.9 15.39 1737100 15.39
2015-07-23 15.47 15.82 15.18 15.42 1583600 15.42
2015-07-24 15.42 15.629 14.57 14.86 1831200 14.86
2015-07-27 14.53 14.7 13.95 14.06 2131000 14.06
2015-07-28 14.1 14.46 13.84 14.33 2967200 14.33
2015-07-29 14.29 14.9 14.14 14.76 1873000 14.76
2015-07-30 14.6 14.98 14.3 14.51 2167100 14.51
2015-07-31 14.45 14.67 14.18 14.46 1504400 14.46
2015-08-03 14.25 14.802 14 14.22 2089900 14.22
2015-08-04 14.37 14.83 14.02 14.15 2462900 14.15
2015-08-05 14.42 14.95 13.695 14.26 2553000 14.26
2015-08-06 14.11 15.3 13.85 15.25 2515300 15.25
2015-08-07 14.41 15.75 14.39 14.42 2375400 14.42
2015-08-10 14.41 15.25 14.2 15.16 2595700 15.16
2015-08-11 14.69 15.79 14.51 15.58 2915100 15.58
2015-08-12 15.73 16.629999 14.8 16.25 5163900 16.25
2015-08-13 16.200001 16.5 15.68 15.9 2441600 15.9
2015-08-14 16.15 16.49 15.67 16.16 1881300 16.16
2015-08-17 16.07 16.41 15.76 16.200001 1387500 16.200001
2015-08-18 16.17 16.42 15.8 16.16 1181100 16.16
2015-08-19 15.99 16.280001 15.16 15.5 1843600 15.5
2015-08-20 15.23 15.53 15.06 15.11 1254200 15.11
2015-08-21 15 15.4 14.71 14.72 2044300 14.72
2015-08-24 14.03 14.792 13.29 13.73 2038700 13.73
2015-08-25 14.68 14.68 13.67 13.72 1916700 13.72
2015-08-26 14.18 14.4 13.78 14.39 1770500 14.39
2015-08-27 14.98 15.96 14.81 15.6 2186700 15.6
2015-08-28 15.53 16.815001 15.42 16.57 2742500 16.57
2015-08-31 16.469999 17.309999 15.84 17.200001 2538000 17.200001
2015-09-01 16.35 17.040001 15.81 15.93 3848700 15.93
2015-09-02 16.33 16.52 15.34 16.469999 2521300 16.469999
2015-09-03 16.41 17.209999 16.120001 16.18 2263800 16.18
2015-09-04 15.95 16.040001 15.46 15.89 1614500 15.89
2015-09-08 15.52 16.33 15.45 15.94 1613700 15.94
2015-09-09 15.96 16.379999 15.23 15.3 1861000 15.3
2015-09-10 15.33 15.62 14.94 15.37 1663800 15.37
2015-09-11 15.17 15.37 14.45 15.05 1876600 15.05
2015-09-14 15.37 15.545 14.68 14.99 2643300 14.99
2015-09-15 15.05 15.58 15 15.56 1641200 15.56
2015-09-16 15.91 16.59 15.905 16.4 2884300 16.4
2015-09-17 16.360001 17.040001 16.219999 16.540001 2088400 16.540001
2015-09-18 14.6 15.8 14.58 15.79 14143000 15.79
2015-09-21 15.72 16.24 15.72 15.85 2391200 15.85
2015-09-22 15.36 16.030001 15.35 15.56 2317700 15.56
2015-09-23 15.72 16.09 15.19 15.24 1799600 15.24
2015-09-24 15.03 15.35 14.77 15.13 3197800 15.13
2015-09-25 15.41 15.43 14.6 14.64 1976900 14.64
2015-09-28 14.68 14.68 13.84 14.03 2303800 14.03
2015-09-29 14.11 14.67 13.9 14.58 2797200 14.58
2015-09-30 14.63 15.11 14.51 15.07 3525900 15.07
2015-10-01 15.37 15.66 14.6 15.29 2801500 15.29
2015-10-02 15.22 16.34 15.15 16.27 2133800 16.27
2015-10-05 16.629999 16.99 16.41 16.540001 2143200 16.540001
2015-10-06 16.639999 17.290001 16.25 17.09 3153700 17.09
2015-10-07 17.540001 17.889999 16.709999 17.48 3503200 17.48
2015-10-08 17.370001 18.01 17.215 17.780001 2573400 17.780001
2015-10-09 18.09 18.110001 17.35 18.09 2578600 18.09
2015-10-12 18.139999 18.139999 17.4 17.74 1655100 17.74
2015-10-13 17.75 18.059999 16.969999 17.049999 2466000 17.049999
2015-10-14 17.030001 17.66 16.905001 17.530001 1761000 17.530001
2015-10-15 17.49 17.85 17.040001 17.84 2003300 17.84
2015-10-16 17.860001 18.219999 17.530001 17.68 1905600 17.68
2015-10-19 17.48 17.608 16.780001 17.09 1978000 17.09
2015-10-20 17.139999 17.59 16.870001 17.120001 2003600 17.120001
2015-10-21 17 17 16.51 16.719999 1030600 16.719999
2015-10-22 16.809999 17.18 16.559999 16.9 1336500 16.9
2015-10-23 16.799999 17.200001 16.370001 16.9 1824100 16.9
2015-10-26 16.82 16.889999 16.190001 16.74 1928400 16.74
2015-10-27 16.4 16.690001 16.07 16.58 2784100 16.58
2015-10-28 16.65 17.870001 16.27 17.299999 1677900 17.299999
2015-10-29 17.34 18.370001 17.34 17.459999 1729100 17.459999
2015-10-30 17.52 18.139999 17.17 17.73 2142600 17.73
