"Index" "XSC.Open" "XSC.High" "XSC.Low" "XSC.Close" "XSC.Volume" "XSC.Adjusted"
2014-07-25 45.825 45.825 45.825 45.825 0 45.825
2014-07-28 46.22 46.22 46.22 46.22 0 46.22
2014-07-29 46.425 46.425 46.425 46.425 0 46.425
2014-07-30 46.54 46.54 46.54 46.54 0 46.54
2014-07-31 44.96 44.96 44.96 44.96 0 44.96
2014-08-01 45.815 45.815 45.815 45.815 0 45.815
2014-08-04 45.295 45.295 45.295 45.295 0 45.295
2014-08-05 45.445 45.445 45.445 45.445 0 45.445
2014-08-06 44.335 44.495 44.335 44.495 0 44.495
2014-08-07 46.2 46.2 46.2 46.2 0 46.2
2014-08-08 45.43 45.43 45.43 45.43 0 45.43
2014-08-11 46.685 46.685 46.685 46.685 0 46.685
2014-08-12 46.555 46.555 46.555 46.555 0 46.555
2014-08-13 46.765 46.765 46.765 46.765 0 46.765
2014-08-14 46.77 46.77 46.77 46.77 0 46.77
2014-08-15 46.775 46.775 46.775 46.775 0 46.775
2014-08-18 46.41 46.41 46.41 46.41 0 46.41
2014-08-19 46.525 46.525 46.525 46.525 0 46.525
2014-08-20 46.455 46.455 46.455 46.455 0 46.455
2014-08-21 46.29 46.29 46.29 46.29 0 46.29
2014-08-22 46.07 46.07 46.07 46.07 0 46.07
2014-08-25 46.31 46.31 46.31 46.31 0 46.31
2014-08-26 46.225 46.225 46.225 46.225 0 46.225
2014-08-27 46.045 46.045 46.045 46.045 0 46.045
2014-08-28 45.855 45.855 45.855 45.855 0 45.855
2014-08-29 46.07 46.07 46.07 46.07 0 46.07
2014-09-01 46.06 46.06 46.06 46.06 0 46.06
2014-09-02 46.26 46.26 46.26 46.26 0 46.26
2014-09-03 46.035 46.035 46.035 46.035 0 46.035
2014-09-04 45.695 45.695 45.695 45.695 0 45.695
2014-09-05 46.09 46.09 46.09 46.09 0 46.09
2014-09-08 45.93 45.93 45.93 45.93 0 45.93
2014-09-09 45.44 45.44 45.44 45.44 0 45.44
2014-09-10 44.925 44.925 44.925 44.925 0 44.925
2014-09-11 44.76 44.76 44.76 44.76 0 44.76
2014-09-12 45.055 45.055 45.055 45.055 0 45.055
2014-09-15 44.945 44.945 44.945 44.945 0 44.945
2014-09-16 45.375 45.375 45.375 45.375 0 45.375
2014-09-17 45.51 45.51 45.51 45.51 0 45.51
2014-09-18 45.775 45.775 45.775 45.775 0 45.775
2014-09-19 45.43 45.43 45.43 45.43 0 45.43
2014-09-22 46.18 46.18 46.18 46.18 0 46.18
2014-09-23 46.305 47.78 46.305 47.78 0 47.78
2014-09-24 46.455 46.455 46.455 46.455 0 46.455
2014-09-25 46.96 46.96 46.96 46.96 0 46.96
2014-09-26 46.41 46.41 46.41 46.41 0 46.41
2014-09-29 46.82 46.82 46.82 46.82 0 46.82
2014-09-30 46.61 46.61 46.61 46.61 0 46.61
2014-10-01 46.58 46.58 46.58 46.58 0 46.58
2014-10-02 46.04 46.04 46.04 46.04 0 46.04
2014-10-03 45.77 45.77 45.77 45.77 0 45.77
2014-10-06 46.19 46.19 46.19 46.19 0 46.19
2014-10-07 45.97 45.97 45.97 45.97 0 45.97
2014-10-08 45.73 45.73 45.73 45.73 0 45.73
2014-10-09 45.09 45.09 45.09 45.09 0 45.09
2014-10-10 45.105 45.105 45.105 45.105 0 45.105
2014-10-13 45.415 45.415 45.415 45.415 0 45.415
2014-10-14 44.435 44.435 44.435 44.435 0 44.435
2014-10-15 44.115 44.115 44.115 44.115 0 44.115
2014-10-16 42.155 44.28 42.155 44.28 0 44.28
2014-10-17 41.525 41.525 41.525 41.525 0 41.525
2014-10-20 42.415 42.415 42.415 42.415 0 42.415
2014-10-21 42.305 42.305 42.305 42.305 0 42.305
2014-10-22 43.715 43.715 43.715 43.715 0 43.715
2014-10-23 44.09 44.09 44.09 44.09 0 44.09
2014-10-24 44.485 44.485 44.485 44.485 0 44.485
2014-10-27 44.82 44.82 44.82 44.82 0 44.82
2014-10-28 44.715 44.72 44.715 44.72 0 44.72
2014-10-29 45.085 45.085 45.085 45.085 0 45.085
2014-10-30 45.78 45.78 45.78 45.78 0 45.78
2014-10-31 47.15 47.15 47.15 47.15 0 47.15
2014-11-03 46.83 46.83 46.83 46.83 0 46.83
2014-11-04 47.63 47.63 47.63 47.63 0 47.63
2014-11-05 48.255 48.255 48.255 48.255 0 48.255
