"Index" "EVC.Open" "EVC.High" "EVC.Low" "EVC.Close" "EVC.Volume" "EVC.Adjusted"
2015-01-05 6.38 6.41 6.14 6.16 540500 6.09573
2015-01-06 6.17 6.19 5.92 5.98 474800 5.917608
2015-01-07 6.04 6.05 5.87 5.91 443700 5.848339
2015-01-08 5.97 6.09 5.94 6.02 528300 5.957191
2015-01-09 6.02 6.28 5.99 6.25 537400 6.184791
2015-01-12 6.24 6.32 6.18 6.27 324300 6.204583
2015-01-13 6.34 6.42 6.2 6.28 527900 6.214479
2015-01-14 6.21 6.36 6.17 6.28 461800 6.214479
2015-01-15 6.31 6.31 6.02 6.21 479900 6.145209
2015-01-16 6.17 6.47 6.17 6.39 448300 6.323331
2015-01-20 6.41 6.42 6.25 6.34 443200 6.273853
2015-01-21 6.31 6.49 6.26 6.44 424700 6.372809
2015-01-22 6.47 6.78 6.36 6.75 680100 6.679575
2015-01-23 6.78 6.89 6.75 6.89 362900 6.818114
2015-01-26 6.89 6.89 6.65 6.7 395200 6.630096
2015-01-27 6.61 6.76 6.47 6.62 485200 6.550931
2015-01-28 6.66 6.69 6.29 6.31 835500 6.244165
2015-01-29 6.31 6.4 6.12 6.35 462700 6.283748
2015-01-30 6.29 6.31 6.14 6.17 467600 6.105626
2015-02-02 6.15 6.38 6.03 6.34 419600 6.273853
2015-02-03 6.36 6.55 6.36 6.54 382600 6.471766
2015-02-04 6.5 6.66 6.46 6.53 181400 6.46187
2015-02-05 6.55 6.62 6.45 6.52 131300 6.451974
2015-02-06 6.52 6.77 6.49 6.68 416600 6.610305
2015-02-09 6.64 6.99 6.64 6.81 730300 6.738949
2015-02-10 6.89 6.9 6.66 6.78 331600 6.709262
2015-02-11 6.77 7.11 6.7 6.99 793900 6.91707
2015-02-12 7.05 7.27 7.01 7.16 878200 7.085297
2015-02-13 7.18 7.3 7.03 7.09 326300 7.016028
2015-02-17 7.13 7.14 7 7.01 190200 6.936862
2015-02-18 6.98 7.06 6.91 7.01 158200 6.936862
2015-02-19 7.01 7.07 6.87 6.96 183700 6.887384
2015-02-20 6.97 7.04 6.83 6.88 188500 6.808218
2015-02-23 6.85 6.96 6.7 6.87 265600 6.798323
