"Index" "HMO.Open" "HMO.High" "HMO.Low" "HMO.Close" "HMO.Volume" "HMO.Adjusted"
2014-12-16 9.854 9.854 9.854 9.854 0 9.854
2014-12-17 9.851 9.875 9.851 9.875 0 9.875
2014-12-18 10.073 10.073 10.073 10.073 0 10.073
2014-12-19 10.598 10.628 10.598 10.628 0 10.628
2014-12-22 10.721 10.721 10.687 10.687 0 10.687
2014-12-23 10.689 10.693 10.685 10.685 0 10.685
2014-12-24 10.685 10.685 10.685 10.685 0 10.685
2014-12-25 10.685 10.685 10.685 10.685 0 10.685
2014-12-26 10.685 10.685 10.685 10.685 0 10.685
2014-12-29 10.894 10.894 10.894 10.894 0 10.894
2014-12-30 10.856 10.856 10.856 10.856 0 10.856
2014-12-31 10.856 10.856 10.856 10.856 0 10.856
2015-01-01 10.856 10.856 10.856 10.856 0 10.856
2015-01-02 10.919 10.919 10.919 10.919 0 10.919
2015-01-05 10.939 11.01 10.939 11.01 0 11.01
2015-01-06 10.618 10.698 10.618 10.698 0 10.698
2015-01-07 11.197 11.197 11.197 11.197 0 11.197
2015-01-08 11.418 11.418 11.418 11.418 0 11.418
2015-01-09 11.636 11.693 11.636 11.693 0 11.693
2015-01-12 11.692 11.705 11.692 11.705 0 11.705
2015-01-13 11.557 11.557 11.557 11.557 0 11.557
2015-01-14 11.635 11.635 11.635 11.635 0 11.635
2015-01-15 11.911 11.911 11.911 11.911 0 11.911
2015-01-16 12.046 12.046 12.046 12.046 0 12.046
2015-01-19 12.176 12.176 12.176 12.176 0 12.176
2015-01-20 12.489 12.489 12.473 12.478 0 12.478
2015-01-21 12.33 12.33 12.286 12.286 0 12.286
2015-01-22 12.129 12.129 12.129 12.129 0 12.129
2015-01-23 12.774 12.774 12.774 12.774 0 12.774
2015-01-26 12.699 12.699 12.584 12.584 0 12.584
2015-01-27 12.855 12.855 12.855 12.855 0 12.855
2015-01-28 12.764 12.764 12.764 12.764 0 12.764
2015-01-29 12.817 12.817 12.817 12.817 0 12.817
2015-01-30 12.48 12.572 12.48 12.572 0 12.572
2015-02-02 12.392 12.392 12.39 12.39 0 12.39
2015-02-03 12.21 12.21 12.21 12.21 0 12.21
2015-02-04 12.372 12.372 12.372 12.372 0 12.372
2015-02-05 12.539 12.539 12.345 12.345 0 12.345
2015-02-06 12.414 12.414 12.368 12.368 0 12.368
2015-02-09 12.265 12.265 12.265 12.265 0 12.265
2015-02-10 12.119 12.119 12.049 12.049 0 12.049
2015-02-11 12.028 12.028 11.98 11.981 0 11.981
2015-02-12 12.309 12.309 12.309 12.309 0 12.309
2015-02-13 12.116 12.116 12.116 12.116 0 12.116
2015-02-16 12.231 12.231 12.231 12.231 0 12.231
2015-02-17 11.981 11.981 11.981 11.981 0 11.981
2015-02-18 12.388 12.446 12.388 12.441 0 12.441
2015-02-19 12.523 12.557 12.523 12.557 0 12.557
2015-02-20 12.839 12.839 12.788 12.788 0 12.788
2015-02-23 12.814 12.814 12.814 12.814 0 12.814
2015-02-24 12.717 12.743 12.717 12.74 0 12.74
2015-02-25 13.335 13.335 13.312 13.312 0 13.312
