"Index" "OPM.Open" "OPM.High" "OPM.Low" "OPM.Close" "OPM.Volume" "OPM.Adjusted"
2014-09-08 1.89 1.9 1.89 1.9 1300 1.6625
2014-09-09 1.9 1.9 1.9 1.9 0 1.6625
2014-09-10 1.9 1.9 1.9 1.9 0 1.6625
2014-09-11 1.9 1.9 1.9 1.9 0 1.6625
2014-09-12 1.9 1.9 1.9 1.9 0 1.6625
2014-09-15 2 2 2 2 200 1.75
2014-09-16 2 2 2 2 0 1.75
2014-09-17 2 2 2 2 0 1.75
2014-09-18 2 2.01 1.94 1.94 7800 1.6975
2014-09-19 1.94 1.94 1.94 1.94 0 1.6975
2014-09-22 2.06 2.06 2.06 2.06 100 1.8025
2014-09-23 2.06 2.06 2.06 2.06 0 1.8025
2014-09-24 2.06 2.06 2.06 2.06 0 1.8025
2014-09-25 2.06 2.06 2.06 2.06 0 1.8025
2014-09-26 2.06 2.06 2.06 2.06 0 1.8025
2014-09-29 2.06 2.06 2.06 2.06 0 1.8025
2014-09-30 2.06 2.06 2.06 2.06 0 1.8025
2014-10-01 2.06 2.06 2.06 2.06 0 1.8025
2014-10-02 2.06 2.06 2.06 2.06 0 1.8025
2014-10-03 2.06 2.06 2.06 2.06 0 1.8025
2014-10-06 2.06 2.06 2.06 2.06 0 1.8025
2014-10-07 2.06 2.06 2.05 2.05 200 1.7937
2014-10-08 2.05 2.05 2.05 2.05 0 1.7937
2014-10-09 2.04 2.04 1.93 1.93 1000 1.6887
2014-10-10 2.08 2.09 2.08 2.09 2000 1.8287
2014-10-13 2.09 2.09 2.09 2.09 0 1.8287
2014-10-14 2.09 2.09 2.09 2.09 0 1.8287
2014-10-15 2.05 2.05 1.95 1.96 9200 1.715
2014-10-16 2 2 1.99 2 900 1.75
2014-10-17 2 2 2 2 0 1.75
2014-10-20 2 2 2 2 0 1.75
2014-10-21 2 2 2 2 0 1.75
2014-10-22 2 2 2 2 0 1.75
2014-10-23 2 2 2 2 0 1.75
2014-10-24 2 2 2 2 0 1.75
2014-10-27 2 2 2 2 0 1.75
2014-10-28 2 2 2 2 0 1.75
2014-10-29 2 2 2 2 0 1.75
2014-10-30 2 2 2 2 0 1.75
2014-10-31 2 2 2 2 0 1.75
2014-11-03 2 2 2 2 0 1.75
2014-11-04 2.05 2.05 2.05 2.05 100 1.7937
2014-11-05 2.1 2.1 2.1 2.1 100 1.8375
