"Index" "ZN.Open" "ZN.High" "ZN.Low" "ZN.Close" "ZN.Volume" "ZN.Adjusted"
2015-01-14 1.39 1.45 1.37 1.42 36000 1.42
2015-01-15 1.4 1.46 1.38 1.38 67300 1.38
2015-01-16 1.37 1.45 1.37 1.4 19700 1.4
2015-01-20 1.39 1.42 1.38 1.4 34300 1.4
2015-01-21 1.4 1.41 1.38 1.38 31300 1.38
2015-01-22 1.4 1.41 1.38 1.4 21800 1.4
2015-01-23 1.42 1.42 1.38 1.38 41800 1.38
2015-01-26 1.36 1.44 1.36 1.43 44900 1.43
2015-01-27 1.44 1.49 1.43 1.48 70200 1.48
2015-01-28 1.53 1.53 1.44 1.48 50100 1.48
2015-01-29 1.51 1.53 1.43 1.5 65300 1.5
2015-01-30 1.52 1.53 1.5 1.5 24900 1.5
2015-02-02 1.53 1.54 1.45 1.5 34200 1.5
2015-02-03 1.5 1.64 1.5 1.57 104000 1.57
2015-02-04 1.59 1.63 1.57 1.63 39500 1.63
2015-02-05 1.63 1.69 1.63 1.66 49400 1.66
2015-02-06 1.69 1.7 1.6 1.69 48100 1.69
2015-02-09 1.71 1.75 1.69 1.75 67300 1.75
2015-02-10 1.8 1.85 1.76 1.85 89900 1.85
2015-02-11 1.92 1.92 1.78 1.88 97000 1.88
2015-02-12 1.83 1.88 1.81 1.84 53100 1.84
2015-02-13 1.82 1.86 1.78 1.85 32700 1.85
2015-02-17 1.85 1.89 1.85 1.85 52900 1.85
2015-02-18 1.88 1.88 1.83 1.86 25200 1.86
2015-02-19 1.87 1.87 1.79 1.81 35700 1.81
2015-02-20 1.84 1.87 1.82 1.85 37100 1.85
2015-02-23 1.88 1.88 1.85 1.87 16000 1.87
2015-02-24 1.87 1.87 1.85 1.86 31700 1.86
2015-02-25 1.85 1.85 1.81 1.85 24600 1.85
2015-02-26 1.85 1.95 1.84 1.94 151300 1.94
2015-02-27 1.97 1.97 1.9 1.96 60400 1.96
2015-03-02 1.99 2 1.9 1.94 58400 1.94
2015-03-03 1.96 1.99 1.9 1.99 40600 1.99
2015-03-04 2 2 1.93 1.93 32000 1.93
2015-03-05 1.97 1.99 1.93 1.93 68000 1.93
2015-03-06 1.92 1.98 1.92 1.95 79700 1.95
2015-03-09 1.98 1.98 1.9 1.92 50100 1.92
2015-03-10 1.92 1.92 1.88 1.88 58800 1.88
2015-03-11 1.88 1.96 1.88 1.89 41200 1.89
2015-03-12 1.89 1.95 1.89 1.94 33200 1.94
2015-03-13 1.91 1.95 1.91 1.95 23900 1.95
2015-03-16 1.91 1.92 1.82 1.84 122100 1.84
2015-03-17 1.81 1.83 1.76 1.78 74100 1.78
2015-03-18 1.73 1.84 1.69 1.82 58400 1.82
2015-03-19 1.81 1.81 1.75 1.81 20900 1.81
2015-03-20 1.81 1.81 1.71 1.72 36800 1.72
2015-03-23 1.68 1.71 1.65 1.65 76700 1.65
2015-03-24 1.6 1.7 1.6 1.66 47000 1.66
2015-03-25 1.69 1.7 1.66 1.67 16800 1.67
2015-03-26 1.69 1.86 1.68 1.73 86400 1.73
2015-03-27 1.77 1.84 1.7 1.71 46900 1.71
2015-03-30 1.69 1.76 1.68 1.74 36000 1.74
2015-03-31 1.78 1.8 1.71 1.74 28400 1.74
2015-04-01 1.75 1.75 1.7 1.72 24700 1.72
2015-04-02 1.78 1.78 1.73 1.77 31500 1.77
